PGC,re,amp,n
PGC10411,14.285,0.910650720259182,0.736
PGC10413,14.587,1.6910546847093249,0.659
PGC1041440,14.775,0.09034115914929013,0.664
PGC1041511,10.547,0.05071883352127013,0.708
PGC1041550,67.292,0.032657784028342275,1.843
PGC10417,9.875,1.214018515877288,0.793
PGC10419,16.618,0.37681033575726847,1.659
PGC10421,15.763,0.25737705468342603,0.611
PGC1042134,11.75,0.609075608330038,0.83
PGC1042309,13.612,0.06593720518173198,1.13
PGC10431,10.912,1.1308327203108655,0.899
PGC104394,6.045,0.20545298491927233,0.49
PGC10445,,,
PGC1046094,10.851,0.20588709273354333,1.113
PGC1046170,18.192,0.027255297655538142,1.209
PGC104631,8.067,0.2903411303168013,0.566
PGC10464,,,
PGC1047309,,,
PGC10483,,,
PGC104868,11.042,0.11418304335720866,0.547
PGC10488,14.758,9.148258122528675,0.757
PGC104917,8.556,0.14021099252168778,0.552
PGC10496,36.552,0.35794277385649625,1.5
PGC10507,38.788,0.22607780111991713,1.33
PGC1051,18.186,0.7505310518430522,0.723
PGC10512,17.565,0.4328954636275517,0.802
PGC1052018,,,
PGC1052121,9.743,0.05896798537858419,1.081
PGC1052160,44.525,0.009122887283417884,1.32
PGC1053462,6.179,0.47829631307812254,0.583
PGC10535,,,
PGC1053691,10.68,0.43343435668284636,0.969
PGC1054061,15.954,0.08496506330376016,1.772
PGC10542,,,
PGC10559,8.948,1.2742863254098107,0.73
PGC10571,,,
PGC1057446,11.181,0.07394099995911123,0.842
PGC10587,12.71,0.5179896073429052,0.841
PGC10588,,,
PGC1059326,12.364,0.0836303283580499,0.64
PGC10595,19.311,0.14665449707796782,1.034
PGC1059517,14.402,0.047468537002495106,0.827
PGC10597,27.178,0.7373546042128851,0.947
PGC10601,,,
PGC10604,12.427,0.13020149781181967,0.815
PGC10606,10.697,0.613707211910949,0.877
PGC10607,11.913,0.19487477022221122,1.32
PGC10608,,,
PGC1061333,9.621,0.35552604744054883,0.786
PGC1061666,9.622,0.12693569209567784,1.021
PGC10617,,,
PGC1062175,16.914,0.019414004885793715,0.844
PGC10622,9.308,0.31283973558044526,0.679
PGC10624,,,
PGC10627,25.418,0.9634032036673478,0.351
PGC1063049,9.077,0.04231155652342761,0.88
PGC1063216,16.182,0.025093638281014758,0.985
PGC1063314,7.55,0.46402028734577944,0.703
PGC10637,,,
PGC10645,,,
PGC1064545,7.758,0.17483934592875006,0.517
PGC1064643,9.063,0.4137631470506763,0.708
PGC1065122,9.941,0.3056283032607816,1.187
PGC10652,18.611,0.9781605865849522,1.02
PGC1065295,10.759,0.17160613137592892,0.63
PGC1065381,,,
PGC1065416,,,
PGC1065831,9.793,0.3646543289664218,0.689
PGC10659,20.222,0.870526023904629,0.878
PGC1066179,12.771,0.3640195343422016,0.843
PGC1066198,,,
PGC10669,24.472,0.4713125338004121,0.711
PGC10670,,,
PGC10673,,,
PGC10683,15.726,0.992072741494507,1.512
PGC1068443,19.373,0.11848741619203403,0.703
PGC1068535,9.086,0.3732451547511632,0.677
PGC10697,10.587,0.5782113301451088,0.973
PGC1069848,8.418,0.10868880456590597,0.628
PGC10705,16.631,0.7066372720686431,0.945
PGC10709,,,
PGC1072285,6.697,0.25912459634280804,1.222
PGC10723,7.386,0.11322009548659913,0.684
PGC10747,16.915,0.3606501649817327,0.598
PGC10748,,,
PGC1075005,11.009,0.0550940582855361,0.891
PGC1076468,11.027,1.3806037143226204,0.846
PGC1077281,17.397,0.04915663528697754,1.025
PGC1077876,17.605,0.0653441398020064,0.702
PGC1078188,,,
PGC10789,,,
PGC10792,,,
PGC1079495,8.878,0.11836142331884048,0.584
PGC1079648,10.008,0.18479648700173415,0.786
PGC10810,7.601,1.916901999288141,0.722
PGC10813,,,
PGC10815,20.886,0.13018619225290515,0.729
PGC10824,10.798,0.4688406592156988,0.646
PGC10830,11.047,0.1861217303577553,0.628
PGC10851,12.0,2.5447677167597025,1.003
PGC10854,,,
PGC10873,8.745,0.9654182582404209,0.854
PGC1087486,17.348,0.0531405056934557,0.741
PGC10875,,,
PGC1087632,8.139,0.23758233329258388,0.651
PGC10879,15.049,0.03204440015304287,0.993
PGC10882,,,
PGC10884,,,
PGC1089,21.715,0.05627539506435097,0.941
PGC10890,14.795,1.00605578235803,1.048
PGC10891,,,
PGC10892,12.06,0.014281279234135497,0.727
PGC10893,13.734,0.08107352648021078,1.527
PGC109,244.944,0.00868714241908931,4.626
PGC1090402,16.903,0.03064939688723449,0.856
PGC10907,,,
PGC10925,,,
PGC10927,,,
PGC10928,16.851,2.374044193425995,1.004
PGC10931,8.27,0.34794780705273637,0.943
PGC10932,14.873,1.0273794556472562,1.292
PGC10940,29.063,0.03866476375135355,0.986
PGC10942,10.431,1.1779754263795865,0.852
PGC1094786,18.689,0.024793926492287382,1.044
PGC10956,,,
PGC10965,40.445,0.7988559924788317,0.665
PGC10966,12.661,1.094003075305663,0.828
PGC10980,7.933,1.562614075762168,0.744
PGC10981,20.873,0.046693571177301954,2.148
PGC1099,18.075,0.05276799668978859,0.607
PGC10994,19.666,0.02085413582009192,1.207
PGC11011,16.599,0.8726917408815911,1.067
PGC11012,11.115,2.954883422858956,0.946
PGC11014,,,
PGC11016,28.553,0.06353643658696985,0.755
PGC1103391,,,
PGC11036,16.106,0.0415155140857328,1.026
PGC11042,10.736,0.06799252247253984,0.813
PGC1105183,8.958,0.287813211244838,0.493
PGC11056,16.937,0.43130352634494695,1.247
PGC1106,,,
PGC11065,29.749,0.046481632830063305,1.351
PGC11067,,,
PGC1107,30.976,0.032574990693180886,0.887
PGC11073,11.267,0.2871335663792769,0.832
PGC11074,15.543,0.3485217223237603,0.782
PGC11075,11.027,1.8523916110617773,1.026
PGC11078,16.418,0.10265336106643783,0.744
PGC1108920,11.845,0.045529051955320615,0.917
PGC1109,30.38,0.2456745572548651,1.625
PGC11092,17.12,0.13953154551274471,0.641
PGC11098,8.243,0.8791005591531763,0.785
PGC11103,12.271,0.4324615779523923,0.82
PGC11104,19.179,0.23885823267120448,1.284
PGC11116,13.761,0.44847038317322674,1.282
PGC11118,12.309,0.5319994862020587,1.578
PGC11123,9.67,0.4584321425201008,0.916
