PGC,re,amp,n
PGC1052121,,,
PGC1052160,,,
PGC1053462,,,
PGC10535,,,
PGC1053691,29.502,0.005233882502827738,0.719
PGC1054061,,,
PGC10542,,,
PGC10559,18.122,0.03837264088645663,0.671
PGC10571,,,
PGC1057446,14.855,0.020966510913749927,0.623
PGC10587,20.577,0.04215031618063324,0.705
PGC10588,,,
PGC1059326,23.666,0.02107102374006079,0.693
PGC10595,12.609,0.044524076292509984,0.783
PGC1059517,,,
PGC10597,49.289,0.022139270557042283,0.568
PGC10601,,,
PGC10604,81.315,0.00106870494525056,3.642
PGC10606,23.055,0.016586858728950757,0.707
PGC10607,9.413,0.09264788166642281,0.478
PGC10608,,,
PGC1061333,,,
PGC1061666,13.279,0.010610216134968257,0.468
PGC10617,,,
PGC1062175,,,
PGC10622,20.056,0.0074517459709799875,2.024
PGC10624,,,
PGC10627,46.444,0.012088038393795929,0.429
PGC1063049,26.763,0.006820841829869482,2.111
PGC1063216,,,
PGC1063314,51.487,0.0002893172373997098,2.354
PGC10637,,,
PGC10645,,,
PGC1064545,,fit fail,fit fail
PGC1064643,13.197,0.0016551875789243167,1.375
PGC1065122,,,
PGC10652,51.873,0.0008247211384499683,3.375
PGC1065295,,,
PGC1065381,,,
PGC1065416,,,
PGC1065831,,,
PGC10659,23.157,0.022843047675787202,0.352
PGC1066179,,,
PGC1066198,,,
PGC10669,34.571,0.03644059346750208,0.242
PGC10670,,,
PGC10673,,,
PGC10683,24.387,0.003280538143082302,1.274
PGC1068443,16.858,0.009058290394168457,0.504
PGC1068535,,,
PGC10697,26.603,0.009754676928894472,1.479
PGC1069848,27.418,0.0019113479516939015,1.976
PGC10705,28.245,0.01253439555980905,0.504
PGC10709,,,
PGC1072285,9.752,0.019182007708515882,1.833
PGC10723,27.068,0.0036655172359716087,2.324
PGC10747,32.273,0.006925024203963809,0.58
PGC10748,,,
PGC1075005,14.583,0.01797190159727657,0.515
PGC1076468,21.739,0.002777578435521785,1.244
PGC1077281,21.199,0.015145306062784209,0.669
PGC1077876,,,
PGC1078188,,,
PGC10789,,,
PGC10792,,,
PGC1079495,21.961,0.005008520866964023,2.183
PGC1079648,66.948,0.00020090134128824308,2.817
PGC10810,31.096,0.0008170914893216535,2.089
PGC10813,,,
PGC10815,25.757,0.027918218636567616,0.328
PGC10824,16.71,0.048973571934813324,0.641
PGC10830,,,
PGC10851,76.256,0.0018291362439219973,3.403
PGC10854,,,
PGC10873,18.984,0.00599445597718293,1.863
PGC1087486,27.86,0.00839465003918751,0.63
PGC10875,,,
PGC1087632,16.927,0.0012470029499466364,0.648
PGC10879,17.189,0.021763259010964247,0.565
PGC10882,,,
PGC10884,,,
PGC1089,29.234,0.012396071848014186,0.546
PGC10890,20.206,0.0327666349698016,0.488
PGC10891,,,
PGC10892,14.927,0.011108768836202812,0.574
PGC10893,48.143,0.0025092869728852957,3.929
PGC109,,fit fail,fit fail
PGC1090402,31.324,0.013100111697613648,0.721
PGC10907,,,
PGC10925,,,
PGC10927,,,
PGC10928,37.35,0.03705739542129601,0.6
PGC10931,234.03,2.2283727344622705e-05,4.325
PGC10932,38.609,0.019421534479297578,0.543
PGC10940,32.094,0.00625339356071986,0.74
PGC10942,90.344,0.003691102461480076,3.216
PGC1094786,22.579,0.007189426704981675,0.568
PGC10956,,,
PGC10965,72.59,0.006660942209615734,0.538
PGC10966,17.979,0.35037162214037615,0.822
PGC10980,90.513,0.00017083366700583304,3.219
PGC10981,23.906,0.024324406802674326,2.653
PGC1099,,,
PGC10994,,,
PGC11011,30.555,0.025554154775961947,0.307
PGC11012,23.713,0.034443073606745284,0.464
PGC11014,,,
PGC11016,23.726,0.026856149786625948,0.388
PGC1103391,,,
PGC11036,17.867,0.016554268879088507,0.403
PGC11042,16.495,0.013074394598033327,0.663
PGC1105183,15.129,0.013889319511070494,0.472
PGC11056,116.766,0.006292495085380489,1.155
PGC1106,,,
PGC11065,37.107,0.01289417692645021,0.63
PGC11067,,,
PGC1107,35.291,0.014131174080644265,0.514
PGC11073,31.76,0.00020941097942482273,4.374
PGC11074,26.349,0.029950329891052518,0.44
PGC11075,25.879,0.009273915643872066,0.414
PGC11078,,,
PGC1108920,15.924,0.013089301071281988,0.556
PGC1109,,fit fail,fit fail
PGC11092,,,
PGC11098,28.736,0.00848854792351893,1.206
PGC11103,27.961,0.0020912219663139827,0.639
