,PGC,re,amp,n
3051,PGC20298,,,
3052,PGC20301,,,
3053,PGC20304,,,
3054,PGC20305,13.546,0.003236605271751073,0.756
3055,PGC2031,,,
3056,PGC20314,,,
3057,PGC20316,87.403,0.0010770355788682622,3.627
3058,PGC20317,17.663,0.02566455051895994,1.687
3059,PGC2032766,14.711,0.004272887431183445,0.586
3060,PGC20332,,,
3061,PGC20348,47.933,0.026515399822490283,0.457
3062,PGC2035,48.126,0.018640395283477756,0.173
3063,PGC20361,,,
3064,PGC20362,,,
3065,PGC20363,,,
3066,PGC20367,,,
3067,PGC2037,15.496,0.004496842941801282,1.044
3068,PGC20383,25.449,0.019772869213354857,0.924
3069,PGC20390,14.26,0.009861266795673007,2.829
3070,PGC20393,32.768,0.0047882972703279176,2.422
3071,PGC20394,26.262,0.0026570796801501616,2.068
3072,PGC20395,,,
3073,PGC20398,11.04,0.0505396023782838,0.474
3074,PGC20400,,,
3075,PGC20412,30.984,0.0008005450385538895,3.244
3076,PGC20414,,,
3077,PGC20416,20.745,0.0042610235015718536,1.262
3078,PGC20417,15.599,0.011466943355182653,0.505
3079,PGC20418,31.888,0.00950917264983728,0.31
3080,PGC20429,,,
3081,PGC204357,44.165,0.018859198356002964,0.198
3082,PGC2044,29.11,0.01050834461977484,0.38
3083,PGC20442,14.559,0.014297520684253462,0.57
3084,PGC20446,32.356,0.008506402576812549,0.611
3085,PGC20450,21.883,0.009632546478753275,3.03
3086,PGC20458,54.826,0.017578170083552405,0.772
3087,PGC20459,,fit fail,fit fail
3088,PGC20460,,,
3089,PGC20462,,,
3090,PGC204753,,,
3091,PGC20477,,,
3092,PGC20479,,,
3093,PGC20480,,,
3094,PGC2048946,,,
3095,PGC20491,,,
3096,PGC20492,34.826,0.009611779856073272,0.324
3097,PGC205,25.631,0.01262112748614181,0.42
3098,PGC20504,,,
3099,PGC20509,,,
3100,PGC20510,28.533,0.010181423461567082,0.664
3101,PGC20514,,,
3102,PGC20516,,,
3103,PGC20518,25.246,0.005086403290532974,0.274
3104,PGC2052,44.306,0.044946333800433606,0.211
3105,PGC20522,23.821,0.0030688971881819168,1.867
3106,PGC20526,30.049,0.011925892368701521,0.476
3107,PGC2053,,,
3108,PGC20531,33.115,0.1203463340617699,0.307
3109,PGC20535,,,
3110,PGC20536,62.141,5.3823066315068694e-05,2.819
3111,PGC20539,56.042,0.002809937062406158,2.553
3112,PGC20543,45.317,0.0002425829895540143,3.852
3113,PGC20546,,,
3114,PGC2054841,19.395,0.0017201650576597995,0.696
3115,PGC20550,,,
3116,PGC20551,,,
3117,PGC20553,,,
3118,PGC20556,,,
3119,PGC20559,,,
3120,PGC20560,,,
3121,PGC20562,,,
3122,PGC20564,,,
3123,PGC20567,15.48,0.023486872558233163,0.48
3124,PGC20568,,,
3125,PGC20573,,,
3126,PGC20576,,,
3127,PGC20577,,,
3128,PGC20585,23.569,0.008799362069210006,0.592
3129,PGC20586,,,
3130,PGC20590,,,
3131,PGC20592,,,
3132,PGC20594,,,
3133,PGC2059432,16.034,0.006515608032750121,0.559
3134,PGC20596,,,
3135,PGC20599,,,
3136,PGC206,17.14,0.003265949995446484,0.605
3137,PGC20601,100.656,4.193770461314845e-05,3.443
3138,PGC20604,12.734,0.02466915341538923,0.621
3139,PGC20608,47.602,0.0028347012554919464,0.967
3140,PGC20611,,,
3141,PGC20614,,,
3142,PGC20620,,,
3143,PGC2062505,14.302,0.006127344390411538,0.474
3144,PGC20626,,,
3145,PGC20629,,,
3146,PGC20637,,,
3147,PGC20640,,,
3148,PGC206455,,,
3149,PGC20649,,,
3150,PGC20663,,,
3151,PGC20666,,,
3152,PGC20670,,,
3153,PGC20676,,,
3154,PGC20677,,,
3155,PGC20679,27.469,0.005309890811788886,2.015
3156,PGC20685,,,
3157,PGC2069162,9.156,0.013886186297865316,1.546
3158,PGC20694,,,
3159,PGC20705,,,
3160,PGC2071,21.245,0.017582627484451788,0.835
3161,PGC20717,,,
3162,PGC20718,,,
3163,PGC20720,,,
3164,PGC20734,40.398,0.0009542621455309725,3.36
3165,PGC20742,21.408,0.0318351253569035,0.768
3166,PGC20744,,,
3167,PGC20754,,,
3168,PGC2076,19.971,0.0004972764398525864,1.209
3169,PGC20766,,,
3170,PGC20774,23.244,0.003907011319203864,0.759
3171,PGC20775,,,
3172,PGC2079990,,,
3173,PGC2081,59.618,0.04530225171666925,0.183
3174,PGC20813,,,
3175,PGC20822,,,
3176,PGC20825,,,
3177,PGC20835,,,
3178,PGC20838,,,
3179,PGC20844,30.136,0.01977069970242292,0.31
3180,PGC2085,65.878,0.0028999381365769528,0.967
3181,PGC20865,,,
3182,PGC20867,,,
3183,PGC2086724,117.317,2.8670233598183916e-05,2.859
3184,PGC20882,,,
3185,PGC20884,,fit fail,fit fail
3186,PGC20885,,,
3187,PGC2088712,44.818,0.00016289129803133165,3.939
3188,PGC20889,11.869,0.017216120921290365,0.498
3189,PGC20894,,,
3190,PGC20903,,,
3191,PGC20904,,,
3192,PGC20908,,,
3193,PGC20911,,,
3194,PGC20914,,,
3195,PGC20916,,,
3196,PGC20920,,,
3197,PGC20927,,,
3198,PGC20933,22.353,0.028006704875791936,0.44
3199,PGC20938,14.568,0.014111003913199844,0.623
3200,PGC20940,,,
3201,PGC20948,,,
3202,PGC20956,,,
3203,PGC20958,,,
3204,PGC20959,37.387,0.0029916386191198223,4.288
3205,PGC20976,33.375,0.00412065679951068,2.501
3206,PGC20979,15.359,0.04478258380728258,0.429
3207,PGC20983,,,
3208,PGC20992,42.416,0.001361141840213097,3.516
3209,PGC20999,39.125,0.0017738071047240138,2.883
3210,PGC21010,,,
3211,PGC21011,,,
3212,PGC21014,,,
3213,PGC21019,,fit fail,fit fail
3214,PGC21020,20.438,0.028855461667498923,0.598
3215,PGC21028,,,
3216,PGC21033,105.384,0.008577191462142753,0.177
3217,PGC21036,49.809,2.4711830403836837e-05,4.36
3218,PGC21039,36.997,0.043037960623555374,0.583
3219,PGC21049,,,
3220,PGC21057,,,
3221,PGC21062,,fit fail,fit fail
3222,PGC21065,,,
3223,PGC21067,,,
3224,PGC21069,18.92,0.009776651954126058,1.576
3225,PGC21071,,,
3226,PGC21075,20.31,0.03056421555955111,0.732
3227,PGC21076,21.771,0.007651308046815616,0.483
3228,PGC21080,52.286,5.273567281568064e-05,3.008
3229,PGC21094,27.835,0.008512384422668582,2.741
3230,PGC21099,49.131,0.0001663001984801163,2.616
3231,PGC21100,,,
3232,PGC21108,15.5,0.014317638699340466,1.225
3233,PGC21109,27.853,0.030458143576028742,0.687
3234,PGC21112,,,
3235,PGC21116,,,
3236,PGC21120,,,
3237,PGC21123,11.563,0.06223694198015654,0.411
3238,PGC21128,,,
3239,PGC2113372,,,
3240,PGC21136,,,
3241,PGC21154,19.805,0.025760544141848463,0.277
3242,PGC21155,52.057,0.00922036548795506,1.216
3243,PGC21161,,,
3244,PGC2116134,42.327,0.0004937735749864648,2.807
3245,PGC21162,,,
3246,PGC21164,41.68,0.018543520619616553,0.299
3247,PGC21167,,,
3248,PGC21168,19.07,0.018338583614289097,0.531
3249,PGC21175,,,
3250,PGC2118,16.946,0.013825771283357694,0.447
3251,PGC21189,24.299,0.01763780941098609,0.553
3252,PGC21195,15.076,0.03382185363108896,0.504
3253,PGC21200,,,
3254,PGC21203,,,
3255,PGC21207,,,
3256,PGC21210,23.993,0.027833313875730386,0.332
3257,PGC21213,,,
3258,PGC2122,37.378,0.005263195207385671,2.556
3259,PGC21231,13.833,0.011450640577383554,0.798
3260,PGC21232,,,
3261,PGC2123386,,,
3262,PGC21241,20.367,0.011734958537249726,0.376
3263,PGC21244,,,
3264,PGC2124430,16.503,0.007466181640532248,0.653
3265,PGC21245,,,
3266,PGC21251,,,
3267,PGC21252,81.693,0.00013649161352764108,3.7
3268,PGC212654,19.899,8.521405719221983e-05,1.799
3269,PGC21273,46.429,0.0019791064499496865,0.316
3270,PGC21275,,,
3271,PGC21280,,,
3272,PGC21285,,,
3273,PGC212865,28.95,6.213406653785719e-05,3.408
3274,PGC21292,,,
3275,PGC21293,,,
3276,PGC21300,,,
3277,PGC213027,,,
3278,PGC21305,,,
3279,PGC213120,,,
3280,PGC213141,,,
3281,PGC213171,,,
3282,PGC213183,,,
3283,PGC21321,31.778,0.0053531520615247115,0.774
3284,PGC21322,40.553,0.002031393080587405,3.024
3285,PGC21323,,,
3286,PGC213238,10.647,0.0001634123114720116,3.429
3287,PGC21324,,,
3288,PGC21325,76.876,0.0009170947036562547,2.535
3289,PGC213274,,,
3290,PGC21328,,,
3291,PGC213292,,fit fail,fit fail
3292,PGC213312,,,
3293,PGC21334,,fit fail,fit fail
3294,PGC21336,,,
3295,PGC21338,,,
3296,PGC21339,,,
3297,PGC21342,,,
3298,PGC21343,,,
3299,PGC21344,,,
3300,PGC213445,,,
3301,PGC213541,,,
3302,PGC21359,26.155,0.011620351616719163,0.679
3303,PGC21360,,,
3304,PGC213611,40.165,0.0008630623588523527,3.824
3305,PGC213688,11.349,0.00022982663272932952,0.519
3306,PGC21369,,,
3307,PGC21370,,,
3308,PGC213705,16.054,0.006045902308174994,0.625
3309,PGC21372,,,
3310,PGC21373,79.777,0.030109195562922873,0.202
3311,PGC21375,,,
3312,PGC2138,,,
3313,PGC21381,20.361,0.014101125255719145,0.731
3314,PGC21382,,,
3315,PGC21383,,,
3316,PGC213858,,,
3317,PGC21386,42.526,0.011931561161577288,0.729
3318,PGC213877,11.357,0.0003810379647303177,0.025
3319,PGC21390,,,
3320,PGC21396,212.593,0.041768226225682936,0.693
3321,PGC21397,,,
3322,PGC21398,,,
3323,PGC21399,,,
3324,PGC21401,17.89,0.016986430005473185,0.35
3325,PGC21402,,,
3326,PGC21405,42.517,0.0011948045119668529,4.282
3327,PGC21407,17.432,0.005035037664729284,0.446
3328,PGC21416,,,
3329,PGC214176,,,
3330,PGC2142,74.382,0.005244099784965431,0.717
3331,PGC214216,,fit fail,fit fail
3332,PGC21422,17.332,0.0073189854086268945,0.418
3333,PGC2142306,25.603,0.007278139169388308,0.574
3334,PGC21425,23.921,0.01685314697958985,0.506
3335,PGC214270,115.438,8.912287719481253e-06,3.509
3336,PGC214271,36.791,0.0003264201260312873,3.002
3337,PGC214272,19.043,0.007361727069658494,0.798
3338,PGC21429,,,
3339,PGC21442,16.275,0.0004796946045090854,0.607
3340,PGC214439,,,
3341,PGC21445,,,
3342,PGC21450,,,
3343,PGC21453,,,
3344,PGC21457,28.006,0.0012895842720191861,2.174
3345,PGC21466,,,
3346,PGC21467,17.942,0.0025683241621881556,0.664
3347,PGC21472,,,
3348,PGC21475,38.914,0.01387840194999231,0.568
3349,PGC214782,,,
3350,PGC21479,,,
3351,PGC214792,,,
3352,PGC21488,,,
3353,PGC21496,29.256,0.02027204904097367,0.348
3354,PGC214962,,fit fail,fit fail
3355,PGC2151,18.194,0.03067908349262784,0.473
3356,PGC21518,17.237,0.005605646036928112,0.986
3357,PGC21525,,,
3358,PGC21529,,,
3359,PGC21533,,,
3360,PGC2154,56.494,0.0030681848715322234,0.217
3361,PGC21542,26.153,0.0007102393574857856,0.208
3362,PGC21543,,,
3363,PGC21547,,,
3364,PGC21553,,,
3365,PGC2155356,,,
3366,PGC21555,,,
3367,PGC21556,65.309,0.0003610224626165871,4.326
3368,PGC21558,,,
3369,PGC21569,,,
3370,PGC2157,38.003,0.0021268649273762934,3.026
3371,PGC21580,20.191,0.0049984476221096715,0.244
3372,PGC21581,,,
3373,PGC21586,,,
3374,PGC2159993,,,
3375,PGC2161692,,fit fail,fit fail
3376,PGC21618,45.969,0.011140577267815083,3.697
3377,PGC21619,22.508,0.009951141818179183,1.618
3378,PGC2162939,,,
3379,PGC2163,,,
3380,PGC2163676,,,
3381,PGC2163686,5.802,0.00032919339072043173,3.956
3382,PGC2163882,120.358,6.323220402070805e-05,2.934
3383,PGC2164,49.904,5.238113055395103e-05,3.463
3384,PGC2164457,18.62,0.00810218817164805,0.658
3385,PGC2165102,,fit fail,fit fail
3386,PGC21656,,,
3387,PGC21657,,,
3388,PGC21660,,,
3389,PGC21666,,fit fail,fit fail
3390,PGC21673,39.883,0.009347627139999327,0.252
3391,PGC21676,,,
3392,PGC21679,21.886,0.00849274889582507,0.688
3393,PGC216800,,fit fail,fit fail
3394,PGC21684,,,
3395,PGC2169,,,
3396,PGC21690,,,
3397,PGC216928,,,
3398,PGC2169579,,,
3399,PGC2169695,,,
3400,PGC21698,,,
3401,PGC2169978,,,
3402,PGC21703,,,
3403,PGC21706,106.209,0.005668520705845918,1.321
3404,PGC21712,37.537,0.01246734121857873,0.328
3405,PGC21713,,,
3406,PGC21716,,,
3407,PGC21718,,,
3408,PGC21722,,,
3409,PGC21724,16.858,0.034213839104640084,0.442
3410,PGC21730,,,
3411,PGC2173485,,,
3412,PGC2173966,21.395,0.00695531214127844,1.648
3413,PGC217407,127.214,6.679658454263087e-05,3.768
3414,PGC2174412,57.444,2.5259558056407335e-05,2.643
3415,PGC21751,,,
3416,PGC21754,17.6,0.00968502299602405,0.481
3417,PGC21759,,,
3418,PGC21763,,,
3419,PGC2176457,,,
3420,PGC21766,25.205,0.0002864015623254461,0.094
3421,PGC2176734,,,
3422,PGC21773,,,
3423,PGC21774,80.208,9.800150382583684e-05,2.808
3424,PGC21775,,,
3425,PGC21776,30.56,0.01348546833533229,0.272
3426,PGC2177921,,fit fail,fit fail
3427,PGC2178136,,,
3428,PGC21783,12.458,0.013186823712303132,0.597
3429,PGC2179011,,fit fail,fit fail
3430,PGC21794,,,
3431,PGC21795,17.609,0.006884258254779372,1.36
3432,PGC21796,16.923,0.003968253074583726,1.618
3433,PGC218,178.838,0.00021732106602831473,1.598
3434,PGC21802,23.022,0.01165833724168573,0.309
3435,PGC2180624,,,
3436,PGC21807,26.636,0.001980329145175284,0.618
3437,PGC21809,,,
3438,PGC2181065,,,
3439,PGC21812,,,
3440,PGC2181376,11.803,0.00041703431472095887,1.053
3441,PGC21815,,,
3442,PGC2182,25.35,0.007406738693481544,0.48
3443,PGC21822,,,
3444,PGC21830,21.687,0.015341092716091992,0.572
3445,PGC21831,,,
3446,PGC2183381,17.201,0.00014716511006035158,3.986
3447,PGC2183601,20.51,0.008003507792007966,0.469
3448,PGC2183765,,,
3449,PGC2184172,,,
3450,PGC2184274,,,
3451,PGC21847,,,
3452,PGC21850,,,
3453,PGC21852,,,
3454,PGC21853,17.136,0.0074374886999262904,0.413
3455,PGC2185301,,,
3456,PGC21854,23.695,0.018393754285983624,0.45
3457,PGC2185837,,,
3458,PGC21863,,,
3459,PGC21864,39.134,0.0005051433970494172,1.052
3460,PGC2187641,,,
3461,PGC21878,,,
3462,PGC21882,,,
3463,PGC21891,23.379,0.0056712677623060375,0.6
3464,PGC21896,,,
3465,PGC21898,,,
3466,PGC21903,,,
3467,PGC21908,63.08,0.0012389696143201433,4.509
3468,PGC2190859,,fit fail,fit fail
3469,PGC21909,,,
3470,PGC2191078,,,
3471,PGC2191583,,,
3472,PGC21918,,,
3473,PGC21919,20.146,0.018312399404396437,0.379
3474,PGC2192,,,
3475,PGC21920,13.006,0.006484632633468466,1.1
3476,PGC21930,14.45,0.0010362539006682518,0.277
3477,PGC2193030,39.695,9.764208728152622e-05,1.801
3478,PGC21940,,,
3479,PGC219417,,fit fail,fit fail
3480,PGC2194668,14.539,0.002810164194033541,4.28
3481,PGC2195,50.845,2.8349367528039953e-05,4.318
3482,PGC2195564,,,
3483,PGC21963,,,
3484,PGC21970,,,
3485,PGC21971,15.853,0.09134978404338921,0.533
3486,PGC2197137,,,
3487,PGC21976,,,
3488,PGC21983,21.943,0.009883688871473567,0.39
3489,PGC22002,24.809,0.007645174432230882,0.582
3490,PGC2201,29.002,0.003689495764169253,2.55
3491,PGC22014,,,
3492,PGC2202,30.537,0.0013872558838483521,0.661
3493,PGC22031,,,
3494,PGC2203135,,,
3495,PGC220419,14.666,0.0021476505864224237,0.933
3496,PGC22042,,,
3497,PGC22043,,,
3498,PGC220482,,,
3499,PGC22050,,,
3500,PGC2205841,,,
3501,PGC2206,18.565,0.00449662097314215,0.44
3502,PGC220618,,fit fail,fit fail
3503,PGC22064,,,
3504,PGC22067,14.143,0.0288948793610647,0.484
3505,PGC22068,9.62,0.003715711804392825,0.578
3506,PGC22069,,,
3507,PGC2207,18.425,0.004452517088731215,1.266
3508,PGC2208126,,,
3509,PGC22096,17.306,0.011221854413987781,0.43
3510,PGC22100,15.873,0.0229381022744931,0.376
3511,PGC2210503,,,
3512,PGC22111,,,
3513,PGC22125,,,
3514,PGC22127,,fit fail,fit fail
3515,PGC22130,,,
3516,PGC2213293,,,
3517,PGC22137,41.439,0.0034930732414825243,0.58
3518,PGC2215,24.524,0.026257318126598702,0.586
3519,PGC22151,,,
3520,PGC2216,,,
3521,PGC22167,24.103,0.00825374933576091,0.54
3522,PGC22174,80.854,0.016339353825061513,0.642
3523,PGC22176,,,
3524,PGC22184,41.417,0.00214278328153493,4.259
3525,PGC22188,,,
3526,PGC221912,64.393,0.00010171835405414399,2.48
3527,PGC22195,,,
3528,PGC22199,,,
3529,PGC22202,,,
3530,PGC22205,30.09,0.008367173655058896,0.263
3531,PGC22210,,,
3532,PGC22212,,,
3533,PGC22213,33.788,0.0047296449131159985,0.298
3534,PGC2222,,,
3535,PGC22225,23.248,0.008828062150362274,0.623
3536,PGC2223,50.202,0.007742451464520068,0.457
3537,PGC22232,,,
3538,PGC22238,,,
3539,PGC22241,,,
3540,PGC2225,56.281,0.0015450261783623307,3.494
3541,PGC22260,,,
3542,PGC22266,,,
3543,PGC22268,,fit fail,fit fail
3544,PGC22270,31.908,0.006884814005978519,1.407
3545,PGC22271,18.268,0.014847802627698827,0.685
3546,PGC22272,,,
3547,PGC22279,,,
3548,PGC2228,,,
3549,PGC222811,14.381,0.0505334165377775,0.468
3550,PGC22289,,,
3551,PGC22292,,,
3552,PGC22301,15.236,0.023508465058768288,0.373
3553,PGC22306,,,
3554,PGC22315,28.967,0.0017287845718952047,2.829
3555,PGC22316,,,
3556,PGC22317,,,
3557,PGC22319,,,
3558,PGC2232,,,
3559,PGC22322,26.751,0.00037674761930686927,3.201
3560,PGC22326,21.44,0.013705968618198422,0.763
3561,PGC22327,,,
3562,PGC22331,,,
3563,PGC22338,,,
3564,PGC22340,25.554,0.007201612554184702,0.513
3565,PGC22343,,,
3566,PGC22350,24.244,0.0005441401852972867,1.932
3567,PGC22354,,,
3568,PGC22369,,,
3569,PGC22374,31.418,0.0038050521502467844,0.545
3570,PGC22377,,fit fail,fit fail
3571,PGC22381,31.446,0.01342631615483415,0.332
3572,PGC22389,,,
3573,PGC22391,,,
3574,PGC22400,,,
3575,PGC22403,,,
3576,PGC22404,,,
3577,PGC22405,,,
3578,PGC2241,,,
3579,PGC22414,,,
3580,PGC22418,,,
3581,PGC22421,,,
3582,PGC22426,,,
3583,PGC22433,,,
3584,PGC22436,,,
3585,PGC22443,,,
3586,PGC22446,,,
3587,PGC22447,,,
3588,PGC2244736,,,
3589,PGC22448,14.03,0.016310775779584848,0.563
3590,PGC22459,,,
3591,PGC2246,21.233,0.009696851290995404,0.512
3592,PGC22460,,,
3593,PGC224614,14.074,0.07624830854182905,0.46
3594,PGC22462,,,
3595,PGC22463,,fit fail,fit fail
3596,PGC22468,13.583,0.024303664768696692,0.675
3597,PGC22469,,,
3598,PGC22471,,,
3599,PGC22487,,,
3600,PGC22495,,,
3601,PGC22501,,,
3602,PGC22506,,,
3603,PGC22510,,,
3604,PGC22511,13.502,0.009442603537639056,0.405
3605,PGC22518,,,
3606,PGC22524,18.001,0.06695002988338263,0.505
3607,PGC22525,,,
3608,PGC22526,,,
3609,PGC22528,33.292,0.00022390888049267363,1.579
3610,PGC22530,23.209,0.002960525073873425,1.286
3611,PGC22531,,fit fail,fit fail
3612,PGC22534,29.274,0.0057746032463272135,0.307
3613,PGC22541,14.616,0.00590856783928174,0.53
3614,PGC2254858,,,
3615,PGC22549,54.437,4.5186929308168644e-05,2.353
3616,PGC22555,28.186,0.0015937365254670296,1.338
3617,PGC22556,,,
3618,PGC22559,,,
3619,PGC22561,25.783,0.04615674692194339,0.43
3620,PGC22568,,,
3621,PGC22572,,,
3622,PGC22575,29.738,0.011273943708431,0.708
3623,PGC22576,,,
3624,PGC22578,28.364,0.0006160312168174426,2.019
3625,PGC22581,,,
3626,PGC22585,,,
3627,PGC22596,,,
3628,PGC22598,,,
3629,PGC22605,,,
3630,PGC2261,,,
3631,PGC22611,,,
3632,PGC22618,,,
3633,PGC2262555,28.814,0.0020918955939304503,3.128
3634,PGC22628,15.013,0.055421990718266034,0.605
3635,PGC22634,,,
3636,PGC22640,,,
3637,PGC22641,,,
3638,PGC22649,15.959,0.0223614185414251,0.358
3639,PGC2265,8.587,0.02556725672275781,0.581
3640,PGC22655,,,
3641,PGC22660,18.55,0.041361637733592534,0.501
3642,PGC22677,19.016,0.008439130243649373,0.678
3643,PGC2268,40.961,0.008631979606604936,0.415
3644,PGC22693,,,
3645,PGC22695,27.824,0.00935657311380877,0.502
3646,PGC227,30.13,0.0011325104332456436,2.483
3647,PGC22712,,,
3648,PGC22721,42.544,0.036368281640897664,0.172
3649,PGC22726,,,
3650,PGC22736,,,
3651,PGC2274,39.957,0.011975989268852046,0.516
3652,PGC22742,,,
3653,PGC22743,,,
3654,PGC22746,,,
3655,PGC22748,,,
3656,PGC22749,,,
3657,PGC22755,46.759,0.0007251695877994839,2.23
3658,PGC22758,,,
3659,PGC22763,23.642,0.015969417686613814,0.442
3660,PGC227641,,,
3661,PGC22765,,,
3662,PGC22767,28.781,0.0004557553536931567,1.382
3663,PGC22770,,,
3664,PGC22778,16.48,0.014664445842144332,0.63
3665,PGC22782,,,
3666,PGC22786,,,
3667,PGC227902,10.78,0.04867837838499728,0.507
3668,PGC227904,18.064,0.001031540453271792,0.656
3669,PGC22796,,,
3670,PGC22799,,,
3671,PGC22805,41.248,0.0043114790413129826,2.23
3672,PGC22807,31.776,0.0011888120234802102,2.124
3673,PGC22815,,,
3674,PGC22824,15.329,0.002860430807841867,1.508
3675,PGC22827,23.807,0.01548423137059947,0.588
3676,PGC22830,19.075,0.0079964201482241,0.43
3677,PGC22835,29.215,0.0022608932219806113,0.487
3678,PGC22838,16.011,0.0012392066477525119,0.803
3679,PGC22856,18.336,0.0004985998328504,1.673
3680,PGC22858,,,
3681,PGC2286,,,
3682,PGC22860,39.701,0.004891539790222878,0.787
3683,PGC22873,,,
3684,PGC22879,,,
3685,PGC22880,,,
3686,PGC22886,,,
3687,PGC22890,,,
3688,PGC22894,29.738,0.033495684557336335,0.44
3689,PGC228962,26.207,0.00048463864482306773,4.058
3690,PGC22902,,,
3691,PGC2291,24.961,0.00041726064815105315,2.024
3692,PGC22918,,fit fail,fit fail
3693,PGC22921,,,
3694,PGC22922,30.499,0.026545883873999136,0.26
3695,PGC229285,,fit fail,fit fail
3696,PGC22930,18.192,0.0154042801939962,0.653
3697,PGC22934,34.175,0.0028680102150134097,2.411
3698,PGC22941,34.048,0.006041992299070548,0.711
3699,PGC2294279,24.391,0.0017102892119026086,2.571
3700,PGC22947,12.988,0.02927041624235928,1.288
3701,PGC2295,19.121,0.0023246255242742146,0.958
3702,PGC22951,16.736,0.004581941237236765,1.73
3703,PGC22955,16.613,0.03427357340980438,0.836
3704,PGC22957,29.226,0.03904541139038716,0.166
3705,PGC22958,32.173,0.004132038283853084,3.174
3706,PGC22962,14.765,0.011884781839025305,0.206
3707,PGC22969,39.579,0.020104941302889305,0.715
3708,PGC22973,,,
3709,PGC22980,,,
3710,PGC229961,,,
3711,PGC22998,,,
3712,PGC23002,,,
3713,PGC23007,14.903,0.013492801094123513,0.947
3714,PGC23013,,,
3715,PGC23014,36.14,0.0032099700298937827,0.938
3716,PGC23017,20.391,0.01810600570966555,0.459
3717,PGC23020,,,
3718,PGC23024,,,
3719,PGC23025,,,
3720,PGC23026,60.073,0.003148680141758364,3.597
3721,PGC23028,46.98,0.015922486149022485,0.192
3722,PGC2302919,14.809,0.012052404876816964,0.53
3723,PGC230353,,,
3724,PGC23040,,,
3725,PGC23046,,fit fail,fit fail
3726,PGC2305,23.21,0.018269716842201793,0.734
3727,PGC23053,29.911,0.0013795010025160705,2.536
3728,PGC2305601,11.916,0.013829183367076663,0.566
3729,PGC23069,,,
3730,PGC23071,,,
3731,PGC2307629,16.557,0.004942444283943884,0.539
3732,PGC2308,,,
3733,PGC23086,26.477,0.021637266852469597,0.256
3734,PGC23090,,,
3735,PGC231010,20.643,0.0024394299533124814,0.731
3736,PGC23103,,,
3737,PGC23109,,,
3738,PGC23110,93.742,0.009431505797774058,0.988
3739,PGC23123,,,
3740,PGC23128,49.278,0.007326034669311916,0.152
3741,PGC23146,,,
3742,PGC23148,,,
3743,PGC23149,,,
3744,PGC23156,,,
3745,PGC23164,,,
3746,PGC23169,,,
3747,PGC23176,18.536,0.0027614241764510237,0.702
3748,PGC23193,,,
3749,PGC23197,,,
3750,PGC2320045,,,
3751,PGC23204,31.651,0.00044996381552714625,0.969
3752,PGC23214,,,
3753,PGC23215,17.415,0.002133698422280602,1.642
3754,PGC23218,,,
3755,PGC23222,,,
3756,PGC23225,24.023,0.00516738400426098,0.533
3757,PGC23231,,,
3758,PGC23232,36.457,0.017473553666495254,0.317
3759,PGC23234,,,
3760,PGC23239,14.878,0.00467990035331702,0.514
3761,PGC23240,29.447,0.00017869511406973048,1.833
3762,PGC23245,40.475,0.002507697752311342,1.188
3763,PGC23246,,,
3764,PGC23247,,,
3765,PGC23256,,fit fail,fit fail
3766,PGC23259,34.495,0.0038432279809672643,0.136
3767,PGC23262,,,
3768,PGC23266,,,
3769,PGC23268,26.527,0.00822190556945745,0.675
3770,PGC2327,16.978,0.01636437736221661,0.521
3771,PGC23278,,,
3772,PGC23282,31.369,0.0016395246642443042,2.203
3773,PGC23283,,,
3774,PGC2328690,,,
3775,PGC23289,19.474,0.0028140082539591907,0.541
3776,PGC23291,,,
3777,PGC23292,23.655,0.0007945456137038297,2.03
3778,PGC23303,,,
3779,PGC23304,,,
3780,PGC23308,,,
3781,PGC23312,,,
3782,PGC23313,,,
3783,PGC23319,38.606,0.007128023851824084,1.043
3784,PGC23321,32.802,0.007637227374968806,0.407
3785,PGC23324,69.079,0.025411702678240382,0.373
3786,PGC23325,,,
3787,PGC23326,14.962,0.012193420831246572,0.88
3788,PGC23329,8.97,0.0006675670824137302,0.572
3789,PGC23332,,,
3790,PGC23333,16.89,0.014128099206604546,0.479
3791,PGC23337,41.684,0.004191731994194565,0.328
3792,PGC23340,58.939,0.021610320269385135,0.374
3793,PGC23342,,,
3794,PGC23345,,,
3795,PGC23347,26.481,0.005126257511682129,1.762
3796,PGC23350,20.7,0.008361690386080221,0.59
3797,PGC23351,18.588,0.008682426921207029,0.616
3798,PGC23352,15.903,0.00864670615373669,0.481
3799,PGC233552,59.095,0.0015859978727471712,3.9
3800,PGC23357,32.15,0.002109603001674035,2.879
3801,PGC23358,28.882,0.0001740644071967752,1.779
3802,PGC23360,,,
3803,PGC23362,37.61,0.010377747178065872,0.502
3804,PGC23367,,,
3805,PGC23369,12.431,0.008871490293887606,0.547
3806,PGC23373,14.607,0.0011455405882180756,1.451
3807,PGC23374,16.556,0.01576005286968426,0.592
3808,PGC23378,,,
3809,PGC2338,62.247,0.00012698110393776136,3.019
3810,PGC23380,,,
3811,PGC23385,19.955,0.009971409129095594,0.37
3812,PGC23387,44.832,0.0011208735504959245,4.319
3813,PGC23392,,,
3814,PGC23393,19.926,0.00037649645919631875,0.157
3815,PGC23397,,,
3816,PGC23402,,,
3817,PGC23404,16.253,0.0025905360093925614,1.236
3818,PGC23405,25.16,0.01638247170385255,0.403
3819,PGC23410,,,
