,PGC,re,amp,n
180,PGC104868,,,
181,PGC10488,,fit fail,fit fail
182,PGC104917,27.05,0.0020869345676591856,2.333
183,PGC10496,35.313,0.0722433861541782,0.469
184,PGC10507,65.027,0.00906572035179902,0.383
185,PGC1051,,,
186,PGC10512,103.146,0.0011980524094462204,1.257
187,PGC1052018,,,
188,PGC1052121,,,
189,PGC1052160,,,
190,PGC1053462,,,
191,PGC10535,,,
192,PGC1053691,73.118,0.00034270262690197755,4.361
193,PGC1054061,,,
194,PGC10542,,,
195,PGC10559,19.605,0.022830336009833075,0.666
196,PGC10571,,,
197,PGC1057446,15.133,0.014485022876282378,0.652
198,PGC10587,25.187,0.019966732318143426,0.725
199,PGC10588,,,
200,PGC1059326,24.779,0.014139143559275263,0.804
201,PGC10595,,,
202,PGC1059517,,,
203,PGC10597,,,
204,PGC10601,,,
205,PGC10604,68.039,0.0009461308091219122,3.508
206,PGC10606,26.515,0.009548234659967708,0.7
207,PGC10607,9.426,0.07263069147843577,0.495
208,PGC10608,,,
209,PGC1061333,,,
210,PGC1061666,13.353,0.008050253951805567,0.404
211,PGC10617,,,
212,PGC1062175,,,
213,PGC10622,17.628,0.006670418487444624,1.614
214,PGC10624,,,
215,PGC10627,62.758,0.0021157024689624397,0.158
216,PGC1063049,36.625,0.00340248707401399,2.65
217,PGC1063216,,,
218,PGC1063314,77.939,1.7807130167508392e-05,4.488
219,PGC10637,,,
220,PGC10645,,,
221,PGC1064545,53.426,0.0006579852831956332,3.548
222,PGC1064643,16.762,0.00032118959263440655,1.014
223,PGC1065122,,,
224,PGC10652,,fit fail,fit fail
225,PGC1065295,,,
226,PGC1065381,,,
227,PGC1065416,,,
228,PGC1065831,,,
229,PGC10659,21.509,0.013352987310969365,0.202
230,PGC1066179,,,
231,PGC1066198,,,
232,PGC10669,36.049,0.024517624734423968,0.208
233,PGC10670,,,
234,PGC10673,,,
235,PGC10683,,fit fail,fit fail
236,PGC1068443,52.604,0.0004318424205095163,2.33
237,PGC1068535,,,
238,PGC10697,20.509,0.014241415926905879,0.714
239,PGC1069848,12.978,0.003491432626263174,1.324
240,PGC10705,30.818,0.007299797989679825,0.449
241,PGC10709,,,
242,PGC1072285,36.804,0.0017566673823675846,2.611
243,PGC10723,15.41,0.006744380580697717,1.372
244,PGC10747,32.708,0.004498903198375619,0.508
245,PGC10748,,,
246,PGC1075005,15.056,0.012824078743423525,0.53
247,PGC1076468,56.321,0.0001497749827190621,2.436
248,PGC1077281,20.744,0.010834131454411373,0.671
249,PGC1077876,,,
250,PGC1078188,,,
251,PGC10789,,,
252,PGC10792,,,
253,PGC1079495,13.596,0.008835249129468575,1.39
254,PGC1079648,29.45,0.00010115225234154396,1.083
255,PGC10810,,,
256,PGC10813,,,
257,PGC10815,27.27,0.020434769738282982,0.366
258,PGC10824,22.713,0.02757361943159605,0.732
259,PGC10830,,,
260,PGC10851,73.429,0.001099280765825272,3.123
261,PGC10854,,,
262,PGC10873,,,
263,PGC1087486,30.024,0.005799746850448148,0.657
264,PGC10875,,,
265,PGC1087632,17.514,0.00025045221719966095,0.493
266,PGC10879,17.307,0.018649245530955073,0.551
267,PGC10882,,,
268,PGC10884,,,
269,PGC1089,31.527,0.009873220018043343,0.529
270,PGC10890,19.728,0.015893160829451154,0.331
271,PGC10891,,,
272,PGC10892,14.652,0.009112972580105235,0.547
273,PGC10893,33.346,0.0034128305223477327,3.132
274,PGC109,7.376,0.006790635791666608,1.807
275,PGC1090402,32.294,0.010092918150627753,0.749
276,PGC10907,,,
277,PGC10925,,,
278,PGC10927,,,
279,PGC10928,40.295,0.02296481156698381,0.57
280,PGC10931,49.016,-0.00026341672427418114,0.4
281,PGC10932,41.952,0.014862791440967053,0.391
282,PGC10940,28.109,0.006961417816677567,0.468
283,PGC10942,126.917,0.0020757517716100122,3.094
284,PGC1094786,23.619,0.0034013140914826772,0.575
285,PGC10956,,,
286,PGC10965,74.129,0.00407998753310749,0.438
287,PGC10966,44.977,0.06151942929494475,2.7
288,PGC10980,17.147,0.00046310594252120605,2.101
289,PGC10981,8.36,0.1573295352572868,0.461
290,PGC1099,,,
291,PGC10994,,,
292,PGC11011,28.318,0.016493429688456497,0.409
293,PGC11012,23.053,0.020705438395098474,0.461
294,PGC11014,,,
295,PGC11016,24.46,0.029804224706505397,0.216
296,PGC1103391,,,
297,PGC11036,17.623,0.014435410044339514,0.401
298,PGC11042,17.409,0.007706624532656756,0.74
299,PGC1105183,14.381,0.011292663057623786,0.43
300,PGC11056,,fit fail,fit fail
301,PGC1106,,,
302,PGC11065,33.82,0.011057075185409807,0.529
303,PGC11067,,,
304,PGC1107,36.21,0.008064333959971848,0.6
305,PGC11073,,fit fail,fit fail
306,PGC11074,,,
307,PGC11075,23.961,0.0059939651970664495,0.327
308,PGC11078,,,
309,PGC1108920,14.658,0.010911343191636835,0.567
310,PGC1109,,fit fail,fit fail
311,PGC11092,,,
312,PGC11098,,fit fail,fit fail
313,PGC11103,,,
314,PGC11104,134.651,5.4381781535410064e-05,4.56
315,PGC11116,,,
316,PGC11118,39.04,0.000620468038228743,0.037
317,PGC11123,,fit fail,fit fail
318,PGC11124,,,
319,PGC11134,14.255,0.007090035874174864,3.863
320,PGC11135,,,
321,PGC11139,,,
322,PGC1114,,,
323,PGC11153,,,
324,PGC11154,21.662,0.008094077351579354,0.501
325,PGC11156,,,
326,PGC11163,,,
327,PGC11179,,fit fail,fit fail
328,PGC11181,,,
329,PGC11192,16.518,0.028745812576086213,0.467
330,PGC11198,,,
331,PGC112,17.792,0.00833273445705672,0.535
332,PGC11202,,,
333,PGC11204,,,
334,PGC11210,31.519,0.00866583608208315,0.216
335,PGC11214,,,
336,PGC11217,55.668,0.006236361736741074,0.627
337,PGC11221,,,
338,PGC11228,,,
339,PGC11230,,fit fail,fit fail
340,PGC1123197,,fit fail,fit fail
341,PGC11233,,,
342,PGC11242,,,
343,PGC11245,,,
344,PGC11248,,,
345,PGC11252,73.759,0.0036993224565086457,0.9
346,PGC1125459,,,
347,PGC11261,,,
348,PGC11263,17.257,0.003969441106068707,1.211
349,PGC11264,,,
350,PGC11265,,,
351,PGC11270,,,
352,PGC11274,,,
353,PGC1127439,68.238,0.00021573309736897222,3.396
354,PGC11282,,,
355,PGC11287,11.073,0.0014035270167316951,1.447
356,PGC11290,19.26,0.014156169237909534,1.856
357,PGC11292,,,
358,PGC11299,,,
359,PGC1130,,,
360,PGC11309,,,
361,PGC1131621,,,
362,PGC1131704,,,
363,PGC11329,28.661,0.1827042053785456,0.73
364,PGC11336,33.771,0.0039224932364913204,2.135
365,PGC11341,,,
366,PGC11344,,,
367,PGC1134909,18.547,0.005513982188652605,0.484
368,PGC11352,27.22,0.0042864629381743355,0.865
369,PGC11357,,,
370,PGC11359,,,
371,PGC11367,26.891,0.022553684885624748,0.157
372,PGC11368,,,
373,PGC11369,,,
374,PGC11370,,,
375,PGC11371,,,
376,PGC11375,,,
377,PGC1137500,43.28,4.491900798985401e-05,2.826
378,PGC11376,,,
379,PGC11377,16.719,0.028140861042262155,0.447
380,PGC11383,33.801,0.00918990714548719,3.044
381,PGC113900,11.028,0.0006073966415079095,0.256
382,PGC113918,,fit fail,fit fail
383,PGC11392,29.637,-0.00011859446734092977,4.514
384,PGC11397,,,
385,PGC11399,,,
386,PGC11403,,,
387,PGC1140347,23.347,0.0031795611706423974,0.494
388,PGC11404,,,
389,PGC11414,,,
390,PGC1141629,,fit fail,fit fail
391,PGC11420,33.638,0.0004747939972130059,1.565
392,PGC11425,43.195,0.0008871886696882945,0.136
393,PGC11432,,,
394,PGC11441,,,
395,PGC11453,,,
396,PGC11455,30.352,0.0035905030683855785,0.831
397,PGC11462,99.7,0.0011685211391234173,1.406
398,PGC11463,,,
399,PGC11469,13.724,0.007021489850981292,0.737
400,PGC1147270,,,
401,PGC11479,69.132,0.02315832078244936,0.292
402,PGC11480,83.617,0.004067498931879854,0.839
403,PGC11484,,,
404,PGC1148459,,fit fail,fit fail
405,PGC11488,38.538,0.0033774490012468206,0.701
406,PGC11503,,,
407,PGC1150429,,,
408,PGC11506,,,
409,PGC11508,,,
410,PGC11511,18.605,0.019493275073360742,0.526
411,PGC11515,29.154,0.00833043815725186,0.597
412,PGC11517,25.014,0.00011038804200436471,2.758
