col1,col2,PGC,OBJNAME,R25_DEG,LOGMASS,DIST_MPC,GALTYPE_COURSE,IDE,Com,Tmag,q,PosAng,n,Re,ratio_Salo,INCL_DEG,MORPH,T,Re_mine,mse,saloratio,mm15ratio,Re_mine2,mse2,saloratio2,mm15ratio2,n_mine2,nsratio,mse_fuv,n_mine_fuv,Re_mine_fuv,bandratio,Re_mine_w2,mse_w2,n_mine_w2
ESO085-030,10.9,16567,ESO085-030,0.0113453706726431,8.855753,13.1,,ESO085-030,,13.14,0.498,147.17,1.377,12.16,0.2398081965115821,73.27999877929688,b'S0-a',-0.20000000298023224,16.7697,0.40681425684923744,0.7251173246987126,0.6499818124355236,16.77,0.40681425684923744,0.7251043530113298,0.6499701848539058,0.615,1.0232945091514143,0.005845554763307766,0.676,22.846,1.0040112554630904,16.703,0.19972717674076795,0.601
ESO085-047,36.2,16780,ESO085-047,0.0096787391230463,8.178535,15.0,LT,ESO085-047,,14.84,0.479,32.67,1.409,37.53,1.0934298075646558,78.0999984741211,b'SBm ',9.0,57.8547,0.001473933713783469,0.6486940559712522,0.6257054310194332,57.855,0.0014739337137834685,0.6486906922478611,0.6257021865007347,1.071,0.6303708063566803,0.0003608364547300655,0.89,42.232,0.5473199250752085,105.706,0.0003052818086217133,1.699
ESO107-016,22.3,66445,ESO107-016,0.0166655164211988,8.924263,31.5,LT,ESO107-016,,14.99,0.184,86.17,1.261,31.65,,90.0,b'SBcd',7.300000190734863,,,,,,,,,,,,,,,,,
ESO114-007,23.3,6513,ESO114-007,0.0119348997250199,8.717782000000001,25.0,LT,ESO114-007,,14.62,0.593,68.93,1.134,25.12,0.9603459939204032,35.529998779296875,b'SBm ',9.0,27.4536,0.004916105672262663,0.9149983972958009,0.8487047236063758,27.454,0.004916105672262659,0.9149850659284622,0.8486923581263204,1.133,0.47208333333333335,,,,0.534727903081298,51.342,0.006331248067043491,2.4
ESO115-021,73.8,9962,ESO115-021,0.0413826890289783,8.341255,5.06,LT,ESO115-021,,13.16,0.194,42.42,1.228,86.79,,90.0,b'SBd ',7.599999904632568,,,,,,,,,,,,,,,,,
ESO116-012,,11984,ESO116-012,0.0299101565033197,10.636776,22.0,LT,ESO116-012,No fit,,,,,,,82.91000366210938,b'SBcd',6.699999809265137,543.6729,0.05511201132958049,,,543.673,0.05511201132958044,,,2.667,0.7540288379983036,0.01101188612941484,0.981,52.996,0.24523809846007005,2216.919,0.024096011859551677,3.537
ESO119-016,43.7,16172,ESO119-016,0.0153397656977176,9.087395,31.6,LT,ESO119-016,,14.35,0.484,17.81,0.848,43.67,0.3653402292681661,77.95999908447266,b'IB  ',9.699999809265137,100.3554,0.0010186076036236612,0.43515346458685833,0.43545240216271375,100.355,0.0010186076036236612,0.43515519904339595,0.43545413781077175,1.258,1.0996503496503498,4.503071956306617e-05,0.526,62.888,0.9204009758423978,109.034,0.00040937158924133846,1.144
ESO120-012,26.2,17567,ESO120-012,0.0145820565521717,8.468331,12.8,LT,ESO120-012,,13.84,0.551,97.11,1.118,31.12,0.4217247429425024,50.61000061035156,b'Scd ',7.099999904632568,29.594700000000003,0.01426541459123661,1.0515396337857792,0.8852936505522947,29.595,0.014265414591236614,1.051528974488934,0.8852846764656191,0.891,0.8936810431293882,0.0030602626632041576,0.417,27.807,0.8985608452756861,32.936,0.005070257513780759,0.997
ESO120-021,29.3,18051,ESO120-021,0.0084687378257513,8.292485000000001,24.1,LT,ESO120-021,,15.25,0.461,117.1,0.526,33.04,0.3882653769717853,71.30000305175781,b'IB  ',10.0,36.380700000000004,0.00133016796139722,0.9081738394258493,0.8053720791518579,36.381,0.0013301679613972198,0.908166350567604,0.8053654380033534,0.463,1.0153508771929824,0.0002133662072854446,0.441,32.787,1.004084674192035,36.233,0.0003749332866705314,0.456
ESO145-025,35.7,67605,ESO145-025,0.0146493641659617,8.410384,17.1,LT,ESO145-025,,14.05,0.727,128.36,1.247,45.09,,90.0,b'SBm ',9.0,,,,,,,,,,,,,,,,,
ESO146-014,39.9,68305,ESO146-014,0.0223264023661613,8.716743,21.7,LT,ESO146-014,,14.68,0.154,49.02,1.909,55.96,,90.0,b'SBcd',6.5,,,,,,,,,,,,,,,,,
ESO149-001,48.3,72443,ESO149-001,0.0284327398985624,9.75065,22.0,LT,ESO149-001,,13.08,0.225,29.87,1.269,55.44,,90.0,b'SBd ',8.0,,,,,,,,,,,,,,,,,
ESO149-003,23.7,72675,ESO149-003,0.0111126787960529,7.1358027,6.0,LT,ESO149-003,,15.43,0.353,144.64,1.082,26.05,,90.0,b'IB  ',9.699999809265137,,,,,,,,,,,,,,,,,
ESO150-005,46.3,1440,ESO150-005,0.0195802748203277,8.560298,13.7,LT,ESO150-005,,13.39,0.862,32.05,1.722,64.79,1.4407864420868777,57.369998931884766,b'SABd',7.699999809265137,67.51350000000001,0.0036184248232152567,0.9596599198678782,0.6857887681722914,67.514,0.003618424823215258,0.9596528127499483,0.6857836893088841,1.44,0.7982261640798226,9.816147680359293e-05,0.645,52.085,0.5714309896825195,118.149,0.0010709145655930408,1.804
ESO154-023,133.8,11139,ESO154-023,0.0677358731627464,8.5111265,5.86,,ESO154-023,,12.45,0.211,39.55,1.068,142.33,,90.0,b'SBm ',8.899999618530273,,,,,,,,,,,,,,,,,
ESO157-049,14.0,15749,ESO157-049,0.0143819833174347,9.32474,17.3,LT,ESO157-049,,12.71,0.15,30.37,1.079,17.31,0.2961073704787286,79.2699966430664,b'Sc  ',4.800000190734863,23.3325,0.9323133804725531,0.7418836387013822,0.6000214293367621,23.332,0.9323133804725532,0.7418995371164065,0.6000342876735814,0.455,0.9578947368421054,9.680805768168821e-05,0.828,32.075,0.934775641025641,24.96,0.5108477668556378,0.475
ESO159-025,24.1,17652,ESO159-025,0.0094584226608276,8.111497,16.4,LT,ESO159-025,,14.9,0.747,90.02,0.857,28.4,0.3254649110617666,47.16999816894531,b'IB  ',10.0,31.953599999999998,0.0007272309115927515,0.8887887436783336,0.7542186169946423,31.954,0.0007272309115927513,0.8887776178256243,0.7542091756900545,0.855,0.9283387622149837,0.00018760992943968522,0.957,29.439,0.8273094449047225,38.624,0.0002605191935601842,0.921
ESO187-035,24.5,65762,ESO187-035,0.0130262309685349,8.488936,24.0,LT,ESO187-035,,15.14,0.407,114.9,1.476,36.5,,90.0,b'SBm ',9.0,,,,,,,,,,,,,,,,,
ESO187-051,41.3,66142,ESO187-051,0.0113715259358286,8.199938000000001,16.0,LT,ESO187-051,,13.56,0.414,13.41,2.565,155.44,4.002951677002599,56.119998931884766,b'SBm ',9.0,49.4343,0.0008525082523400147,3.1443754639996926,0.8354523074059913,49.434,0.0008525082523400144,3.144394546263705,0.8354573775134523,1.119,1.0718390804597702,0.00010252546867926274,1.112,53.391,1.1762718317232188,42.026,0.0003309697602424361,1.044
ESO202-035,20.5,15455,ESO202-035,0.0233248453587293,9.666147,23.7,LT,ESO202-035,,12.48,0.183,134.0,1.298,25.29,,90.0,b'Sbc ',3.700000047683716,,,,,,,,,,,,,,,,,
ESO202-041,21.0,15650,ESO202-041,0.0109854731708765,8.031951,17.3,,ESO202-041,,15.2,0.488,166.17,1.607,31.56,0.7648278742477495,73.55999755859375,b'SBm ',8.899999618530273,44.2269,0.0014173725138573992,0.7135928586448519,0.4748241454861182,44.227,0.0014173725138573988,0.7135912451669795,0.4748230718791689,1.105,1.45778364116095,0.0002826024436013722,0.552,35.572,1.157229577685907,38.218,0.0005717645588716213,0.758
ESO234-043,27.9,64909,ESO234-043,0.0120453294366598,8.884601,19.4,,ESO234-043,,13.66,0.549,62.73,2.252,58.96,0.661049123879938,44.04999923706055,b'SBm ',8.899999618530273,29.347199999999997,0.005435818413583587,2.00905026714644,0.9506869479882238,29.347,0.00543581841358359,2.00906395883736,0.9506934269260912,1.004,0.7344550109729334,6.408174910002252e-05,1.214,69.956,0.7286835179023687,40.274,0.0018239124700564842,1.367
ESO234-049,18.6,65017,ESO234-049,0.0141846528276801,9.1886835,19.4,LT,ESO234-049,,12.79,0.93,164.18,1.391,23.36,0.5361478642862387,51.810001373291016,b'Sbc ',4.099999904632568,27.693900000000003,0.07531559509944803,0.8435070538999562,0.6716280480539035,27.694,0.07531559509944812,0.8435040080883947,0.671625622878602,0.97,1.061269146608315,0.02904696964230142,0.66,20.164,1.0312802562001937,26.854,0.045969654722549394,0.914
ESO236-039,13.0,67293,ESO236-039,0.0086460709571838,8.169764500000001,21.271582,,ESO236-039,,15.46,0.472,84.56,0.976,16.83,0.7223700535944797,73.66999816894531,b'Sm  ',8.600000381469727,27.2016,0.0036443279471846837,0.618713605082054,0.47791306393741545,27.202,0.0036443279471846846,0.6187045070215424,0.4779060363208587,0.736,0.8168701442841287,0.001767445467205514,0.693,19.624,0.8096315256860528,33.598,0.001208718360701943,0.901
ESO237-049,24.7,68450,ESO237-049,0.0208842474967241,9.382571,38.2,LT,ESO237-049,,14.44,0.153,35.91,1.363,29.99,,90.0,b'SBc ',5.900000095367432,,,,,,,,,,,,,,,,,
ESO237-052,19.4,68517,ESO237-052,0.009590002708137,9.218235,38.2,LT,ESO237-052,,14.08,0.452,59.44,1.578,25.88,0.3493257351793054,67.30999755859375,b'SBcd',7.300000190734863,25.2261,0.0111917771727571,1.0259215653628584,0.7690447591978149,25.226,0.0111917771727571,1.0259256322841512,0.7690478078173313,0.824,0.9856459330143541,0.0004682268040071231,0.543,30.79,0.9634495665126227,26.183,0.005618992476045976,0.836
ESO238-018,13.6,69251,ESO238-018,0.0087060034275054,9.107713,40.476196,LT,ESO238-018,,14.3,0.873,125.42,1.095,15.7,0.2946016087837169,32.369998931884766,b'Sc  ',5.5,33.5655,0.03669046330061678,0.4677421757459296,0.4051779356780027,33.566,0.0366904633006168,0.46773520824643977,0.4051719001370434,2.221,1.779647435897436,0.0037443630683178034,0.431,17.064,1.872789153601518,17.923,0.0074251609393734715,1.248
ESO240-004,21.7,71501,ESO240-004,0.0146493641659617,8.068342,18.7,LT,ESO240-004,,15.71,0.211,139.88,0.865,25.21,,90.0,b'Scd ',6.699999809265137,,,,,,,,,,,,,,,,,
ESO240-011,28.5,71948,ESO240-011,0.04643215239048,10.918401,41.3,LT,ESO240-011,,11.03,0.115,127.19,1.305,43.82,,90.0,b'Sc  ',5.0,,,,,,,,,,,,,,,,,
ESO245-005,55.2,6430,ESO245-005,0.02791378647089,7.821130999999999,4.55,LT,ESO245-005,,12.73,0.664,123.23,1.05,103.0,,20.8799991607666,b'IB  ',9.899999618530273,,,,,,,,,,,,,,,,,
ESO245-007,63.0,6830,ESO245-007,0.0197614468634128,5.9266315,0.43,LT,ESO245-007,,12.95,0.954,102.61,0.587,88.98,2.238937543153762,35.630001068115234,b'Sm  ',9.5,92.4885,0.00026095751484087536,0.9620655540959147,0.6811657665547608,92.488,0.0002609575148408752,0.9620707551249892,0.6811694490096013,0.707,0.9439252336448598,1.6958631849763404e-05,0.662,41.352,0.8858664418987778,104.404,8.547320673727102e-05,0.749
ESO248-002,42.6,11595,ESO248-002,0.015164173208177,9.331636,22.3,LT,ESO248-002,,13.37,0.23,16.56,0.939,47.58,0.4602444911624029,73.51000213623047,b'SBcd',6.800000190734863,43.2693,0.013277438197362608,1.099624907266815,0.9845317580825204,43.269,0.013277438197362611,1.0996325313735007,0.9845385842057826,0.718,0.9573333333333333,0.00012393601822464616,0.377,44.209,0.9957655397786113,43.453,0.007223721270577547,0.75
ESO249-008,9.5,13364,ESO249-008,0.0102758724242448,8.611003,14.341679,LT,ESO249-008,,14.03,0.574,169.42,1.53,11.98,0.475584389002453,51.33000183105469,b'S?  ',2.4000000953674316,30.8916,0.07015269771070597,0.3878076888215567,0.3075269652591643,30.892,0.07015269771070602,0.3878026673572446,0.3075229832966464,1.973,0.9522200772200773,0.08090656084186945,2.18,34.235,0.9389094887848762,32.902,0.023112969229927453,2.072
ESO249-026,21.0,14066,ESO249-026,0.0102051356807351,7.3452883,9.736435,LT,ESO249-026,,15.27,0.519,166.04,1.422,31.67,,90.0,b'Scd ',7.199999809265137,,,,,,,,,,,,,,,,,
ESO249-027,25.2,14078,ESO249-027,0.0143489027395844,8.159972999999999,13.765757999999998,LT,ESO249-027,,14.81,0.292,88.81,1.13,31.05,,90.0,b'IB  ',9.899999618530273,,,,,,,,,,,,,,,,,
ESO249-035,21.2,14212,ESO249-035,0.013177067041397,7.5362325,10.889293,LT,ESO249-035,,16.44,0.171,97.79,1.281,23.54,,90.0,b'SBc ',5.900000095367432,,,,,,,,,,,,,,,,,
ESO249-036,38.0,14225,ESO249-036,0.009790813550353,8.364403999999999,16.8,LT,ESO249-036,No fit,,,,,,,41.959999084472656,b'IB  ',10.0,,,,,,,,,,,,,,,,,
ESO285-048,30.0,65299,ESO285-048,0.0203619226813316,9.522285,28.2,LT,ESO285-048,,13.06,0.414,82.51,1.028,32.44,2.604206308188691,73.18000030517578,b'SBc ',5.900000095367432,34.201800000000006,0.09732432717850664,0.9484880912700498,0.8771468168342016,34.202,0.09732432717850659,0.9484825448804163,0.8771416876206071,0.699,0.9588477366255144,0.0010849876716260611,0.346,42.494,0.9684836471754212,35.315,0.03718727475570999,0.729
ESO286-044,5.0,66078,ESO286-044,0.01221289858222,9.444132000000002,30.8,,ESO286-044,,12.58,0.589,123.1,18.166,28.27,1.4124879108747328,67.5199966430664,b'S0-a',-0.800000011920929,35.7804,0.26972783668531997,0.7900973717454248,0.13974131088528916,35.78,0.26972783668532,0.7901062045835662,0.13974287311347122,1.82,1.0668229777256741,0.00018621615112704852,0.704,13.972,1.173691979662129,30.485,0.20473780269212274,1.706
ESO287-009,16.6,66617,ESO287-009,0.0164747480303049,9.445061,29.2,LT,ESO287-009,,13.63,0.144,104.61,1.293,22.16,,90.0,b'Sbc ',4.400000095367432,,,,,,,,,,,,,,,,,
ESO287-037,23.7,66985,ESO287-037,0.0133911771699786,9.571723,35.809635,,ESO287-037,,13.23,0.754,15.0,1.325,32.3,2.1349337428683506,32.77000045776367,b'SBm ',8.5,25.192800000000002,0.025943202483741212,1.2821123495601916,0.9407449747546918,25.193,0.025943202483741188,1.282102171238042,0.9407375064502044,0.702,0.9845722300140253,0.0003328702934792924,0.345,29.398,0.9790913683883253,25.731,0.008588909870591063,0.713
ESO287-043,23.0,67078,ESO287-043,0.0177344903349876,9.370456,30.8,LT,ESO287-043,,13.97,0.17,108.95,1.03,26.77,,90.0,b'Sc  ',5.900000095367432,,,,,,,,,,,,,,,,,
ESO288-013,19.4,67507,ESO288-013,0.0094149652868509,9.28854,35.220875,LT,ESO288-013,,14.14,0.997,34.07,0.689,21.02,0.3626168490996616,37.349998474121094,b'SABm',9.0,20.7252,0.008237453868310733,1.0142242294404877,0.936058518132515,20.725,0.008237453868310733,1.0142340168878166,0.9360675512665861,0.555,1.2333333333333334,0.0004536860670467744,0.325,20.713,1.1057461452275519,18.743,0.0029992707702318614,0.45
ESO289-010,25.2,68478,ESO289-010,0.0195802748203277,9.450219,31.8,LT,ESO289-010,,14.1,0.107,122.74,1.08,31.85,,90.0,b'SBcd',6.699999809265137,,,,,,,,,,,,,,,,,
ESO289-026,32.9,68741,ESO289-026,0.0162113346159458,8.750974000000001,21.0,LT,ESO289-026,,13.53,0.377,123.25,3.542,91.17,,90.0,b'SBd ',7.900000095367432,,,,,,,,,,,,,,,,,
ESO289-048,22.5,69475,ESO289-048,0.0165507905185222,9.204501,31.5,LT,ESO289-048,,14.29,0.309,141.5,1.436,26.12,0.4414457339828047,83.12999725341797,b'SBc ',4.800000190734863,32.085,0.02312356036559762,0.814087579865981,0.7012622720897616,32.085,0.023123560365597616,0.814087579865981,0.7012622720897616,0.794,1.2973856209150327,0.00030962903284181484,0.621,50.527,1.2779813590376803,25.106,0.011741783504714678,0.612
ESO291-024,20.9,71309,ESO291-024,0.0145485186949372,8.680128999999999,18.7,LT,ESO291-024,,14.43,0.289,87.5,1.344,25.74,0.8313442047745135,79.2300033569336,b'SBc ',5.0,29.574,0.015187703137505133,0.8703590992087643,0.706701832690877,29.574,0.015187703137505124,0.8703590992087643,0.706701832690877,0.542,0.7559274755927476,0.0010905885661335346,0.43,22.715,0.8659268585482974,34.153,0.005105183496027287,0.717
ESO292-014,27.6,72178,ESO292-014,0.024763885885477,9.435011,18.7,LT,ESO292-014,,12.99,0.096,84.57,1.079,34.19,,90.0,b'Scd ',6.599999904632568,,,,,,,,,,,,,,,,,
ESO293-034,25.4,474,ESO293-034,0.0209323838353157,9.791633,23.9,LT,ESO293-034,,11.59,0.203,10.34,2.496,34.11,3.007568239136775,74.63999938964844,b'SBc ',6.199999809265137,47.9943,2.2479345557533152,0.710709396740863,0.5292295126712964,33.134,2.2479345557533152,1.0294561477636264,0.7665841733566728,0.881,0.960741548527808,0.0026069638366511276,0.391,44.029,1.0700122715236065,30.966,1.859634766995532,0.917
ESO293-045,17.9,800,ESO293-045,0.009590002708137,8.339992,23.9,LT,ESO293-045,,15.46,0.265,134.47,0.985,21.12,,90.0,b'SBd ',7.699999809265137,,,,,,,,,,,,,,,,,
ESO298-015,29.7,8320,ESO298-015,0.0172115042805671,8.673733,17.226612,LT,ESO298-015,,13.97,0.38,58.96,1.073,33.52,2.0653162025200262,71.19000244140625,b'SBc ',6.099999904632568,31.7718,0.018300512096379812,1.0550236373135926,0.9347912299586426,31.772,0.01830051209637982,1.0550169960971927,0.9347853455873096,0.698,0.9680998613037448,0.0002965693897511818,0.232,37.957,0.9989938372531757,31.804,0.00789601921891427,0.721
ESO298-023,16.9,8580,ESO298-023,0.0085865519940853,8.399469999999999,16.649464000000002,LT,ESO298-023,,14.78,0.744,58.01,1.353,19.46,,24.270000457763672,b'Sc  ',6.0,,,,,,,,,,,,,,,,,
ESO300-014,82.1,11812,ESO300-014,0.0369673818349838,8.866744,10.9,,ESO300-014,,12.68,0.435,166.85,1.191,92.75,,90.0,b'SABm',8.899999618530273,,,,,,,,,,,,,,,,,
ESO302-009,33.7,13854,ESO302-009,0.0185702946037054,8.508439,16.8,LT,ESO302-009,,14.27,0.263,48.24,1.567,46.04,,90.0,b'SBd ',8.0,,,,,,,,,,,,,,,,,
ESO302-014,31.5,13985,ESO302-014,0.0112932445481419,7.788136,16.8,LT,ESO302-014,,15.74,0.652,119.2,0.743,29.88,1.2025683997055203,73.56999969482422,b'IB  ',10.0,48.0141,0.00031471657426596333,0.6223171943241673,0.6560572831730679,48.014,0.0003147165742659632,0.6223184904402882,0.6560586495605448,0.892,1.0194285714285714,1.3309191612208534e-05,0.181,41.52,0.9903060803564062,48.484,9.539784034635542e-05,0.875
ESO302-021,17.3,14122,ESO302-021,0.0103233056142926,7.129698299999999,8.01309,LT,ESO302-021,,16.05,0.293,6.94,1.294,16.25,0.6338554088769711,81.63999938964844,b'Sc  ',5.0,85.51350000000001,0.06869990288475726,0.1900284750361054,0.20230723803843836,85.514,0.06869990288475726,0.19002736394040742,0.20230605514886454,4.389,1.1798387096774194,0.004482030477873017,1.602,31.543,0.9035046013080181,94.647,0.006142135968724486,3.72
ESO305-009,55.4,16790,ESO305-009,0.0243118945509195,8.622435000000001,12.8,LT,ESO305-009,,13.34,0.723,88.82,1.822,69.61,0.7967971841766407,52.95000076293945,b'SBd ',8.0,104.4135,0.00635262116909704,0.6666762439722833,0.5305827311602427,104.414,0.006352621169097037,0.6666730515065029,0.5305801903959239,1.921,0.8955710955710956,0.0001312046213756364,0.762,73.072,0.7808172055876283,133.724,0.002707952093135904,2.145
ESO305-017,25.7,16976,ESO305-017,0.0121848089620471,8.736512,22.59,LT,ESO305-017,,14.5,0.281,63.18,0.698,31.62,0.9133148313640932,86.02999877929688,b'IB  ',9.899999618530273,43.5744,0.008147927145131947,0.7256554307116105,0.5897958434310053,43.574,0.008147927145131949,0.7256620920732547,0.5898012576306972,0.609,1.2767295597484276,0.0008557004371620475,0.424,48.36,1.0492679637834714,41.528,0.0032393187200947847,0.477
ESO340-008,9.6,64422,ESO340-008,0.0184849686920642,9.393588,33.1,LT,ESO340-008,,14.3,0.091,34.2,0.763,11.37,,90.0,b'Sc  ',6.099999904632568,,,,,,,,,,,,,,,,,
ESO340-009,21.2,64429,ESO340-009,0.0199442971497774,9.081787,33.1,LT,ESO340-009,,14.5,0.168,98.1,1.148,22.91,,90.0,b'SBcd',7.099999904632568,,,,,,,,,,,,,,,,,
ESO340-017,19.4,64488,ESO340-017,0.0142173524945974,9.60712,33.88,LT,ESO340-017,,13.41,0.303,102.51,1.8,24.29,0.2568495895952036,64.12999725341797,b'SBd ',8.0,23.9562,0.07484620017119388,1.0139337624498042,0.809811238844224,23.956,0.07484620017119382,1.013942227416931,0.8098179996660544,0.809,1.0438709677419356,0.013865343581751802,1.802,35.688,1.0578468603726927,22.646,0.044077421007467796,0.775
ESO340-042,21.7,65003,ESO340-042,0.0133603792637586,9.177568,26.79,LT,ESO340-042,,12.85,0.59,102.23,3.519,112.05,3.004755880035284,68.3499984741211,b'SBd ',7.800000190734863,38.5317,0.00908006921707195,2.907995235092145,0.5631726604328384,38.532,0.009080069217071949,2.907972594207412,0.5631682757188831,1.025,0.91273374888691,0.0008566363313467552,0.894,32.078,1.0261791259421023,37.549,0.00419699436761122,1.123
ESO341-032,21.1,66004,ESO341-032,0.0127590605989098,9.603919,38.725746,LT,ESO341-032,,13.39,0.882,97.83,1.197,24.35,,26.270000457763672,b'SBm ',9.0,,,,,,,,,,,,,,,,,
ESO342-013,17.4,66239,ESO342-013,0.0135150849819183,9.14958,19.86,LT,ESO342-013,,13.1,0.226,158.43,1.754,24.16,1.0514938839881138,72.55000305175781,b'SBa ',1.0,23.960700000000003,0.11839412046793349,1.0083177870429494,0.7261891347080843,23.961,0.11839412046793342,1.00830516255582,0.7261800425691749,0.67,1.1452991452991454,,,,1.0883448401162792,22.016,0.09438182841873378,0.585
ESO342-050,30.4,66812,ESO342-050,0.0142829762771725,9.86419,23.4,LT,ESO342-050,,11.92,0.611,29.72,1.175,34.93,0.3638081713756733,43.45000076293945,b'Sc  ',5.0,26.8524,0.21074933016785466,1.3008148247456466,1.1321148202767723,26.852,0.21074933016785466,1.3008342022940562,1.1321316847907046,0.847,1.0047449584816133,0.0008598605052532084,0.228,30.226,1.0253551244844967,26.188,0.1014102248046941,0.843
