col1,col2,PGC,OBJNAME,R25_DEG,LOGMASS,DIST_MPC,GALTYPE_COURSE,IDE,Com,Tmag,q,PosAng,n,Re,ratio_Salo,INCL_DEG,MORPH,T,Re_mine,mse,saloratio,mm15ratio,Re_mine2,mse2,saloratio2,mm15ratio2,n_mine2,nsratio,mse_fuv,n_mine_fuv,Re_mine_fuv,bandratio,Re_mine_w2,mse_w2,n_mine_w2,Re_mine_w3,mse_w3,n_mine_w3,Re_mine_w4,mse_w4,n_mine_w4
NGC2648,15.7,24464,NGC2648,0.0262312367558479,10.563661,29.977814,LT,NGC2648,,11.03,0.465,149.72,4.907,20.48,0.6429429320502479,83.73999786376953,b'Sa  ',1.100000023841858,42.699600000000004,7.448474746113766,0.47962978575911713,0.3676849431844794,54.491,8.51233072104414,0.37584188214567543,0.2881209741058156,,,3.585921536733763e-05,1.048,40.879,2.286463578382007,52.651,3.954496301815701,1.936,42.454,0.37215385520642097,1.591,23.832,0.15717066785375394,0.683
NGC2654,21.3,24784,NGC2654,0.037052609026432,10.3943205,22.7,LT,NGC2654,,10.93,0.33,65.54,2.982,25.15,,90.0,b'SBab',2.0,,,,,,,,,4.096,,,,,,,,,,,,,,
NGC2655,30.1,25069,NGC2655,0.0327204093337059,10.988147,23.8,LT,NGC2655,,9.45,0.733,83.56,4.866,38.58,1.33811245602389,66.20999908447266,b'S0-a',0.10000000149011612,42.1695,2.737794934700832,0.9148792373634973,0.7137860301876949,130.517,3.488941606265199,0.29559367745197945,0.23062129837492434,,,0.00041942248544736544,1.76,56.485,9.214048711613131,62.86,10.004925018605048,2.752,21.624,7.252888420167098,1.133,14.165,7.797622235723963,0.866
NGC2681,16.1,24961,NGC2681,0.0330992974340915,10.537963,17.2,LT,NGC2681,,9.42,0.884,62.53,13.009,87.63,,0.0,b'S0-a',0.4000000059604645,,,,,,,,,1.013,,,,,,,,,,,,,,
NGC2683,49.9,24930,NGC2683,0.0790348723530769,10.33291,7.73,LT,NGC2683,,8.86,0.28,40.47,1.151,63.39,2.1110449901572474,82.87000274658203,b'Sb  ',3.0,212.7528,60.74388782160648,0.29795142531614155,0.2345445042321417,99.0,60.74388782160649,0.6403030303030303,0.5040404040404041,2.982,5.411978221415608,0.0010978025663572497,0.599,123.388,1.1364419037123767,98.104,25.366112190203438,1.004,89.223,16.701263039051206,0.601,87.114,6.279434253929393,0.551
NGC2684,12.2,25024,NGC2684,0.009179494343698,9.972215,43.994637,LT,NGC2684,,12.71,0.746,45.14,1.181,15.03,1.8578731528976096,42.029998779296875,b'SABb',4.0,49.9851,0.7578656713040224,0.30068960550243967,0.244072733674635,49.985,0.757865671304023,0.30069020706211863,0.24407322196658995,0.994,0.4348206474190726,,,,1.743764172335601,49.696,0.23747215186411447,3.002,13.206,2.419009969584832,0.47,28.665,3.1680869842384634,2.286
NGC2685,18.7,25065,NGC2685,0.0360428243875503,10.131058,16.0,ET,NGC2685,,10.79,0.398,37.17,4.186,26.18,0.74337153212641,68.4000015258789,b'S0-a',-1.0,37.7622,19.084484192249825,0.6932858784710636,0.49520419890790257,22.959,19.084484192249825,1.1402935667929788,0.8144954048521277,0.818,0.34764130896727574,7.531281372862811e-05,0.664,76.332,0.2533658515052529,23.418,5.907969266173843,0.984,4184.381,0.04213402059877398,0.009,90.616,0.11161792773013374,2.353
NGC2701,24.1,25237,NGC2701,0.0161740481853485,10.1451435,37.3,LT,NGC2701,,11.98,0.765,28.2,1.574,28.6,2.299442638223944,49.209999084472656,b'Sc  ',5.300000190734863,25.8867,0.5774662679076884,1.1048144413926844,0.9309800013134157,25.887,0.5774662679076882,1.104801637887743,0.9309692123459652,0.732,0.3584720861900098,0.0023250862842388365,0.2,31.696,0.5939973841811799,24.417,0.25685061361336153,0.776,25.231,1.2617292586855884,0.711,43.581,1.4372384578847908,2.042
NGC2710,24.4,25258,NGC2710,0.0168584939092397,9.999192,40.74,LT,NGC2710,,12.86,0.559,121.85,1.269,23.89,0.2827729047284689,64.97000122070312,b'SBb ',3.200000047683716,25.549200000000003,0.22976665650814268,0.935058631972821,0.9550201180467489,25.549,0.22976665650814282,0.9350659517006537,0.9550275940349916,1.577,2.077733860342556,0.0017496532439158837,0.737,31.124,1.0878395639955718,25.88,0.09168663804489048,0.748,22.752,0.5509941325488095,0.628,23.486,0.32256206742336463,0.759
NGC2712,25.1,25248,NGC2712,0.0244241114705801,10.256268,30.9,LT,NGC2712,,11.16,0.55,12.36,6.266,56.47,2.6716929092186024,60.34000015258789,b'SBb ',3.0999999046325684,43.2342,3.77244472194965,1.3061418969241942,0.5805589093819246,34.358,3.772444721949648,1.6435764596309448,0.7305431049537227,0.781,0.29572131768269594,0.000491214669463484,0.182,42.561,1.2156959875451134,37.718,1.6465793701694411,2.081,20.705,15.776860769464589,1.336,28.262,28.139222357532837,2.641
NGC2715,50.1,25676,NGC2715,0.0349799208343029,10.229767,23.8,LT,NGC2715,,11.11,0.465,15.73,0.841,48.17,1.626038298973708,74.0199966430664,b'SABc',5.199999809265137,55.4274,0.9852655997173914,0.8690647585851041,0.9038850821074054,55.427,0.9852655997173911,0.8690710303642629,0.9038916051743735,,,0.00035732341048003895,0.14,83.344,0.8980249833930105,55.625,0.3397074892857324,0.753,63.146,1.4982477298095302,0.533,61.721,1.1853196911719397,0.476
NGC2726,13.7,25498,NGC2726,0.0127590605989098,9.85551,22.7,LT,NGC2726,,12.34,0.362,88.35,0.892,16.36,,90.0,b'Sa  ',1.2000000476837158,,,,,,,,,0.642,,,,,,,,,,,,,,
NGC2731,8.1,25376,NGC2731,0.0059954077005386,9.660962,35.0,LT,NGC2731,,12.83,0.659,68.13,1.212,8.65,0.2205600788769015,48.790000915527344,b'SABb',3.5999999046325684,12.552299999999999,0.3196091047348483,0.6891167355783403,0.6453000645300064,12.552,0.3196091047348482,0.6891332058636075,0.6453154875717018,,,0.056763503789826635,2.833,32.267,1.3692592996618305,11.557,0.1535229472972632,0.619,10.66,15.744002145571523,0.542,9.167,80.20365095923755,0.477
NGC2732,9.5,25999,NGC2732,0.0150945009663701,10.408793,30.0,ET,NGC2732,,11.44,0.322,65.61,3.983,17.21,,90.0,b'S0  ',-2.0,,,,,,,,,3.698,,,,,,,,,,,,,,
NGC2735,8.8,25399,NGC2735,0.0118527393788099,10.288133,37.0,LT,NGC2735,,12.27,0.356,94.54,2.076,10.14,3.367440860058226,74.19000244140625,b'SABb',2.9000000953674316,23.463,3.0949347918335883,0.4321697992584069,0.3750586029067042,60.422,8.343351741889462,0.16781966833272652,0.14564231571281985,0.71,1.3840155945419101,0.0016783933279506987,2.621,70.579,3.1565144707972,60.87,4.004067069185152,3.787,18.412,2.1684302073934876,0.528,19.142,1.9340154236436256,0.513
NGC2742,36.7,25640,NGC2742,0.0238681510090827,10.214967,22.7,LT,NGC2742,,11.1,0.478,86.0,0.708,42.32,2.161500940546798,60.66999816894531,b'Sc  ',5.199999809265137,38.661300000000004,0.7294256033484781,1.0946346863659524,0.9492696831198123,38.661,0.7294256033484778,1.0946431804661028,0.9492770492227309,0.604,2.013333333333333,0.001070390061366169,0.144,42.351,1.0888888888888888,38.49,0.3840949640085492,0.671,36.496,2.4277840065061715,0.357,35.505,2.0941083974195003,0.3
NGC2743,16.0,25496,NGC2743,0.0091373175382614,9.665317,31.48,LT,NGC2743,,13.13,0.64,105.12,0.942,17.45,0.8658582432699063,53.540000915527344,b'Sd  ',7.800000190734863,18.3168,0.10065722874096429,0.952677323549965,0.8735150244584207,18.317,0.10065722874096436,0.9526669214391003,0.8735054867063383,0.807,1.5140712945590995,0.002064408838104234,0.436,15.677,1.2718372448271074,17.847,0.04613536361635637,0.611,14.707,0.9837166237375159,0.489,14.402,0.9740511114838349,0.533
NGC2748,17.5,26018,NGC2748,0.021667992696166,10.179194,23.8,LT,NGC2748,,11.09,0.311,41.41,1.481,24.45,0.3702222218665394,68.12999725341797,b'Sbc ',4.0,41.1741,11.173595883695954,0.5938199013457488,0.4250244692658734,25.293,11.17359588369596,0.9666706203297355,0.691891037045823,1.221,0.5915697674418605,0.0026998511550517905,0.49,39.236,0.649104347379767,775.236,460.35792397797496,7.728,24.519,27.9441146832186,0.796,38.966,45.77605302734974,2.064
NGC2750,28.1,25525,NGC2750,0.0169363059103488,10.067132,37.0,LT,NGC2750,Fit fails,,,,,,,45.40999984741211,b'SABc',5.199999809265137,19.8909,0.622447204951312,,1.4127063129370718,19.891,0.6224472049513118,,1.412699210698306,0.67,0.2566066641133665,0.10993915579200797,2.898,42.213,0.8218402677354046,122.384,3.219628481929852,4.668,17.357,7.370169667829909,1.43,24.203,210.0322743036696,2.611
NGC2764,9.5,25690,NGC2764,0.0095679461956024,10.151801,37.0,ET,NGC2764,,12.13,0.339,21.15,1.637,12.65,2.3331449736902643,65.63999938964844,b'S0  ',-1.7000000476837158,17.7093,0.6212005910038697,0.7143139480386013,0.5364413048511234,17.709,0.6212005910038702,0.7143260489016885,0.5364503924558134,,,,,,1.2231661831744716,28.564,0.5466727143307939,2.15,12.338,20.706843146415864,0.443,14.478,62.5622203397249,0.814
NGC2768,59.5,25915,NGC2768,0.0469698123633861,10.983696,22.4,ET,NGC2768,,9.2,0.488,93.48,4.084,86.87,,90.0,b'E   ',-4.400000095367432,,,,,,,,,0.703,,,,,,,,,,,,,,
NGC2770,40.8,25806,NGC2770,0.0287619791924953,10.029665,25.5,LT,NGC2770,,11.8,0.241,146.15,0.761,48.5,1.8815602235591635,82.44999694824219,b'Sc  ',5.199999809265137,51.414300000000004,0.45986299832028216,0.943317326113552,0.7935535444419158,51.414,0.4598629983202817,0.9433228303574902,0.7935581748161978,1.595,2.158322056833559,0.0004592564469023278,0.338,75.594,1.0085329253221915,51.534,0.20170238912811175,0.7,46.813,1.7529159627339754,0.413,50.979,1.8057094668606892,0.739
NGC2775,39.7,25861,NGC2775,0.035384964197874,10.78529,17.0,LT,NGC2775,,9.1,0.825,158.89,3.49,63.19,1.7865450478294185,40.04999923706055,b'Sab ',1.600000023841858,36.541799999999995,1.1031795132210467,1.7292525272427741,1.0864270506652658,36.542,1.1031795132210473,1.7292430627770783,1.0864211044825134,0.915,5.865384615384616,0.00013404505681195375,0.089,38.315,0.9394796380090498,37.533,2.559890232740563,1.591,39.457,0.6152541875774156,0.23,38.896,0.3587920276187059,0.156
NGC2776,23.6,25946,NGC2776,0.0178163535892963,10.352884,36.0,LT,NGC2776,,11.32,0.958,145.03,1.849,27.86,0.4694125323169406,67.37999725341797,b'SABc',5.099999904632568,29.243700000000004,0.604731907354502,0.9526838259180608,0.8070114246829231,29.244,0.604731907354502,0.952674052797155,0.8070031459444673,1.665,2.4306569343065694,0.002257775942768188,0.774,43.918,1.032226183332745,29.303,0.2600455411257621,0.895,29.669,1.4241343538186593,0.652,28.331,2.480396447577312,0.685
NGC2780,14.5,25967,NGC2780,0.0088271144777536,9.527373,25.5,LT,NGC2780,,13.2,0.73,138.07,0.552,14.68,2.154429657644595,45.90999984741211,b'Sb  ',2.700000047683716,28.7928,0.13046013014402744,0.5098496846433831,0.5035981217526604,28.793,0.13046013014402744,0.5098461431597958,0.5035946236932588,2.08,1.2983770287141074,0.0004508110941165321,0.366,15.63,1.2773612528281797,20.845,0.066336267420369,1.233,14.247,0.4234055591526418,0.521,22.541,0.5548122895346651,1.602
NGC2782,12.4,26034,NGC2782,0.0270906072109937,10.549642,42.1,LT,NGC2782,,10.86,0.96,73.55,7.447,23.15,1.0026480789154546,45.15999984741211,b'SABa',1.100000023841858,18.4986,8.371921049279901,1.2514460553771636,0.6703209972646579,23.921,8.970003351379352,0.9677689059821913,0.5183729777183228,2.659,0.3282310825823972,0.3145981807356121,1.476,16.522,0.15640467363658356,11.782,7.545511597818434,0.804,17.275,97.72198894919612,1.844,152.943,856.7387995294778,8.101
NGC2787,23.7,26341,NGC2787,0.0269661359488964,9.882932,7.48,ET,NGC2787,,9.71,0.678,120.22,3.734,27.16,0.5252243001420804,66.12000274658203,b'S0-a',-1.0,33.255,38.16340901126661,0.8167192903322809,0.7126747857465042,75.201,39.20276782886602,0.3611654100344411,0.315155383572027,,,0.0006911262246059342,1.051,23.818,1.2380395772282768,33.849,8.746055895221218,1.471,55.246,2.42936636610601,2.719,60.742,1.356904763609648,3.494
NGC2793,17.4,26189,NGC2793,0.0093071926385164,9.314676,29.6,,NGC2793,Fit uncertain,13.66,0.79,104.94,0.303,19.4,,37.400001525878906,b'Sm  ',8.699999809265137,,,,,,,,,0.903,,,,,,,,,,,,,,
NGC2798,6.2,26232,NGC2798,0.0202217493206262,9.923517,25.0,LT,NGC2798,,11.21,0.594,169.12,6.643,6.94,0.1326531456986889,85.0,b'Sa  ',1.100000023841858,97.18740000000001,10.500281174687485,0.07140843360353297,0.06379427785906402,31.144,10.769578156851573,0.22283585923452354,0.19907526329309017,,,0.009379285132335291,1.418,39.089,0.7636702466774558,30.476,12.733639213884047,0.924,35.36,147.02649738943302,1.165,40.782,3902.8023747492102,1.617
NGC2799,11.7,26238,NGC2799,0.0146831357851624,9.249796,25.0,,NGC2799,,13.48,0.231,123.04,2.295,18.28,,90.0,b'SBd ',8.5,,,,,,,,,1.782,,,,,,,,,,,,,,
NGC2805,59.2,26410,NGC2805,0.0282370131462812,9.743989,21.9,LT,NGC2805,,11.07,0.959,70.9,3.204,120.52,2.2384637149722417,36.0099983215332,b'SABc',6.900000095367432,61.0767,0.08607661673334972,1.973256577385484,0.9692730615766733,61.077,0.08607661673334971,1.9732468850794898,0.9692683006696465,,,0.0015319958183455254,1.868,122.676,0.78636539204326,61.384,0.04762457544842758,1.846,44.099,0.23602598313693404,1.405,77.67,0.15009127327140745,1.96
NGC2814,12.1,26469,NGC2814,0.0087260706350207,9.049651,21.9,LT,NGC2814,,13.61,0.229,179.18,0.95,16.16,,90.0,b'SBb ',3.0999999046325684,,,,,,,,,,,,,,,,,,,,,,,
NGC2820,21.8,26498,NGC2820,0.0312477480620145,9.70096,21.9,LT,NGC2820,,12.03,0.143,62.92,1.293,27.79,,90.0,b'SBc ',5.300000190734863,,,,,,,,,2.713,,,,,,,,,,,,,,
NGC2841,69.5,26512,NGC2841,0.0575199835002422,10.930236,14.1,LT,NGC2841,,8.29,0.485,151.41,3.842,114.03,3.338681721929331,74.0,b'SBb ',2.9000000953674316,58.29750000000001,10.076187472227133,1.9560015438054803,1.1921608988378574,130.523,11.468432367174538,0.8736391287359316,0.5324732039563909,1.464,4.077994428969359,0.00030882479889568146,0.528,133.318,1.210990703456978,462.018,21.77013418630278,4.561,106.88,1.5567720515896635,0.359,107.782,0.9304700891839954,0.359
NGC2844,9.3,26501,NGC2844,0.014784911647439,9.934239,25.0,LT,NGC2844,,12.2,0.504,10.2,4.27,13.06,0.8869442173410907,70.44000244140625,b'Sa  ',0.699999988079071,28.2132,0.47811988562254676,0.4629038889597777,0.32963293777380803,28.213,0.47811988562254665,0.4629071704533371,0.32963527451883884,0.613,0.14651051625239006,0.0031068407113737655,1.7,37.308,0.4049635413676293,159.613,0.6934638846821208,3.805,7016.976,0.5972767188258534,0.092,69.668,3.3227911284632294,4.184
NGC2854,10.2,26631,NGC2854,0.0106369880959391,9.680664,25.0,LT,NGC2854,,12.44,0.439,51.48,1.93,11.87,2.1140378859433318,68.2300033569336,b'SBb ',3.0999999046325684,17.7462,0.51618641661774,0.668875590267212,0.5747709368766271,17.746,0.51618641661774,0.6688831285923589,0.5747774146286487,1.392,2.0500736377025035,0.0010787002743357788,0.453,22.645,1.2527177749541154,36.357,1.1400019366204535,2.511,16.545,9.771999836828167,0.562,14.166,16.58642455040679,0.679
NGC2859,22.4,26649,NGC2859,0.0265961457043886,10.88952,29.6,ET,NGC2859,,10.23,0.938,148.65,5.505,29.28,0.1491791685541418,32.93000030517578,b'S0-a',-1.2000000476837158,19.3608,0.714697252681703,1.5123342010660716,1.1569769844221311,19.002,2.9469738817162336,1.5408904325860437,1.1788232817598148,0.593,0.7009456264775413,0.00022394634591998776,1.057,15.309,1.5376274478070884,14.328,3.1433950635256016,0.951,13.316,0.31893368736684935,0.899,12.358,0.07288032184222772,0.846
NGC2882,18.4,26781,NGC2882,0.0123827988281846,10.13314,35.48,LT,NGC2882,,12.38,0.393,78.79,0.871,21.33,1.453072031706001,61.61000061035156,b'SABc',5.300000190734863,20.279700000000002,0.6295618134887843,1.0517907069631205,0.9073112521388382,20.28,0.629561813488784,1.0517751479289938,0.9072978303747533,2.586,5.31006160164271,0.0012053181224683778,0.361,20.681,1.4237573715248526,19.063,0.36237839056897153,0.565,18.329,2.511616174051251,0.496,14.244,2.757367664859723,0.487
NGC2893,4.6,26979,NGC2893,0.0084687378257513,9.371868,24.0,LT,NGC2893,,12.46,0.626,168.15,6.835,8.07,0.1724055042084608,39.099998474121094,b'S0-a',0.4000000059604645,17.4861,2.1620560434345575,0.46150942748811913,0.2630660924963256,31.278,2.3327894707036814,0.25800882409361214,0.14706822686872562,2.141,2.360529217199559,0.1294114759205116,5.953,339.782,2.904447952456124,33.24,2.2605654817175775,2.773,504.987,294.58744178014405,7.549,10.769,162.24380946430827,0.907
NGC2894,12.0,26932,NGC2894,0.0158058814704418,10.852403,50.82,LT,NGC2894,,11.33,0.558,29.41,5.733,21.39,1.275855050853462,65.97000122070312,b'Sa  ',1.0,41.5575,0.6799879524301407,0.514708536365277,0.2887565421404079,41.558,0.6799879524301403,0.514702343712402,0.28875306800134753,1.694,0.712363330529857,5.4265621415717525e-05,0.492,38.506,0.7708630891654764,19.24,0.7781971739487872,0.854,29.444,0.7027206924906494,1.306,53.911,0.45486985183620815,2.378
NGC2903,81.0,27077,NGC2903,0.0994989871978759,10.420516,8.47,LT,NGC2903,,8.36,0.476,16.61,1.482,90.55,1.1826476052447807,65.0,b'Sbc ',4.0,48497.4063,0.4878900990088727,0.0018671101592498977,0.0016701924119187379,86.997,107.52790921608343,1.0408404887524856,0.9310665885030518,0.732,0.3125533731853117,0.07904615853378075,1.968,181.006,1.1892634514435696,83.269,50.9985748609309,1.741,63.482,314.10109793497776,1.789,73.152,415.4679600999979,2.342
NGC2906,16.6,27074,NGC2906,0.0112932445481419,10.450817,33.6,LT,NGC2906,,11.59,0.584,83.56,1.463,19.07,0.4173991765285899,54.959999084472656,b'Sc  ',5.699999809265137,757.458,0.4817982313226024,0.025176313406155854,0.02191540653079115,18.791,1.54571290373068,1.014847533393646,0.8834016284391465,0.662,1.7795698924731185,0.001182403688844477,0.203,21.485,1.0057806562115292,19.222,0.744412787139755,0.69,19.391,2.0482071453543433,0.399,18.683,2.1053507204453594,0.372
NGC2919,21.1,27232,NGC2919,0.0127004384994506,10.044094,34.7,LT,NGC2919,,12.51,0.331,157.76,0.709,23.07,1.2995569559439584,74.81999969482422,b'SABb',3.700000047683716,27.555300000000003,0.3063192195870134,0.837225506526875,0.7657329080068082,27.555,0.30631921958701347,0.8372346216657595,0.765741244783161,0.843,2.0814814814814815,0.0008122201609948156,0.314,30.181,1.097939992827828,27.239,0.1411623089782346,0.655,25.94,1.4365326874541966,0.394,25.097,1.6016911434804266,0.405
NGC2938,17.9,27473,NGC2938,0.0103233056142926,9.19246,26.9,LT,NGC2938,,13.67,0.538,97.37,1.311,24.61,0.3766150693088086,47.959999084472656,b'Sc  ',5.800000190734863,22.932900000000004,0.020137462966,1.0731307422960026,0.7805380043518262,22.933,0.020137462965999997,1.0731260628788208,0.7805346007936161,1.46,2.7969348659003828,0.001286315820649146,0.639,25.122,1.0954905894716729,23.123,0.010638187529834553,0.852,19.878,0.04194938948047213,0.643,20.934,0.07923632827490645,0.522
NGC2962,20.5,27635,NGC2962,0.0192672051489353,10.636588,33.6,ET,NGC2962,,10.73,0.634,178.28,7.366,59.85,3.4456328630819475,72.31999969482422,b'S0-a',-1.0,36.8091,1.2102576946005228,1.6259566248563535,0.5569274989065204,36.809,1.210257694600522,1.625961042136434,0.5569290119264311,2.935,0.6927071040830777,7.357645211023746e-05,4.409,1402.078,0.39567657049490473,34.711,0.6694605011353335,1.483,29.953,0.06989219875174373,1.302,93.028,0.11565318764518917,4.237
NGC2964,26.9,27777,NGC2964,0.0243118945509195,10.302145,20.6,LT,NGC2964,,10.8,0.71,98.68,1.3,25.85,1.6421088071748724,42.900001525878906,b'Sbc ',4.0,568.1043,87.92568361884332,0.04550220795723603,0.047350460117974814,54.544,87.92568361884331,0.4739293047814609,0.49317981812848344,2.476,2.371647509578544,0.00329311626211687,0.12,23.931,3.5142065588557436,22.645,75.7256277642219,1.953,69.484,64.2275742113524,2.802,15.521,76.04007720881084,1.044
NGC2966,11.2,27734,NGC2966,0.0176530089229345,9.988953,33.6,LT,NGC2966,Fit fails,,,,,,,75.5,b'Sc  ',4.699999809265137,31.671900000000004,3.1223599836173,,0.3536257692149823,50.841,3.7857896155851334,,0.22029464408646562,,,0.00013380249537539284,0.204,44.197,2.8240293284452593,23.003,0.9626777948391613,1.056,0.145,11.539504172801252,1.83,18.003,151.954949469795,1.146
NGC2967,22.9,27723,NGC2967,0.0178574211895465,10.356887,30.0,LT,NGC2967,,11.15,0.904,137.82,1.121,26.25,,20.479999542236328,b'Sc  ',5.199999809265137,,,,,,,,,4.245,,,,,,,,,,,,,,
NGC2968,18.6,27800,NGC2968,0.0206451844424009,10.364814,20.6,LT,NGC2968,,10.81,0.68,53.39,3.669,21.22,0.4609631275026823,53.34000015258789,b'Sa  ',0.6000000238418579,103.7025,0.6182202153810065,0.20462380366914973,0.17935922470528676,103.702,0.6182202153810067,0.20462479026441147,0.17936008948718446,,,1.0821122980358421e-06,1.084,48.727,1.6886551269316572,139.004,9.271798075037285,4.836,18.735,0.1359245317733138,1.058,61.411,0.04120282037276806,2.988
NGC2974,14.4,27762,NGC2974,0.0290281139314174,11.122308,21.5,ET,NGC2974,,10.0,0.615,42.58,3.822,31.42,,90.0,b'E   ',-4.300000190734863,,,,,,,,,0.622,,,,,,,,,,,,,,
NGC2976,66.5,28120,NGC2976,0.0480638742446899,9.0879755,3.58,LT,NGC2976,,9.93,0.411,141.05,0.553,75.59,2.352501962102147,65.0,b'Sc  ',5.199999809265137,79.2729,1.4402100362626609,0.9535415003109511,0.8388743189665068,79.273,1.4402100362626609,0.9535402974531052,0.8388732607571304,2.128,21.714285714285715,0.0065230969159109815,0.088,58.258,1.183355724735035,77.232,0.5872696536633722,0.552,69.649,3.7678270902397935,0.061,66.99,8.188489677492615,0.098
NGC2978,11.2,27808,NGC2978,0.0088883014395833,9.361283,25.4,LT,NGC2978,,12.69,0.903,92.04,1.541,11.61,1.7751310610425854,35.880001068115234,b'SABb',4.0,28.4886,0.6766027360106653,0.40753143362608196,0.3931397120251609,28.489,0.6766027360106656,0.40752571167819157,0.39313419214433637,1.034,0.8517298187808897,,,,1.6901400094921688,11.965,0.23404021818381307,0.539,12.576,7.087802184664115,0.542,16.856,9.4596948516747,1.214
NGC2985,34.1,28316,NGC2985,0.0301174856722354,10.467281,16.6,LT,NGC2985,,9.52,0.831,178.46,4.761,58.23,3.092619821320406,37.880001068115234,b'Sab ',2.4000000953674316,19.9674,0.5178161708311609,2.916253493193906,1.707783687410479,19.967,0.5178161708311627,2.916311914659188,1.7078178995342317,,,,,,0.6894206201229196,21.281,0.7638164524326797,1.079,26.125,2.337721749083678,0.606,28.962,3.511481458043534,0.756
NGC2986,25.0,27885,NGC2986,0.0400699488818645,11.0133705,26.2,ET,NGC2986,,9.71,0.847,33.13,6.076,56.82,,52.77000045776367,b'E   ',-4.699999809265137,,,,,,,,,0.732,,,,,,,,,,,,,,
NGC3003,42.6,28186,NGC3003,0.0395201630890369,9.710932,20.6,LT,NGC3003,,11.55,0.264,81.23,2.442,64.02,1.7938590091453477,87.04000091552734,b'Sbc ',4.400000095367432,56.419200000000004,0.5245803744045726,1.1347200952867107,0.7550621065169304,56.419,0.5245803744045726,1.1347241177617469,0.7550647831404315,0.612,0.6194331983805668,0.0016827055571050102,0.759,133.952,0.9707830755200716,55.228,0.21403676316077633,0.709,51.749,4.4216103035765295,0.674,58.117,7.579959223786745,0.988
NGC3018,11.9,28258,NGC3018,0.0097682941704988,9.062829,27.064484000000004,LT,NGC3018,,13.6,0.383,33.51,1.674,14.65,1.913260496271897,66.44999694824219,b'SBbc',3.5,18.4599,0.15025059582999073,0.7936120997405186,0.6446405451817182,18.46,0.15025059582999079,0.7936078006500542,0.6446370530877573,0.942,1.4537037037037035,0.019614428545218554,0.658,18.851,1.2673348894686256,17.965,0.05026280387963829,0.611,16.316,0.5202788384437014,0.602,14.566,3.2607454263091347,0.648
NGC3020,30.6,28296,NGC3020,0.0195352416485548,9.0488,18.3,LT,NGC3020,,12.81,0.377,99.03,1.737,38.94,0.2939994610164815,58.41999816894531,b'Sc  ',5.900000095367432,28.761300000000002,0.12129902509789356,1.353902640005841,1.0639296554745439,28.761,0.12129902509789353,1.3539167622822572,1.0639407531031606,0.596,0.9551282051282051,0.025943100699403435,0.756,33.426,1.3855381057905387,26.992,0.05132812361598778,0.881,21.948,0.27768881634579157,0.65,20.758,1.1887874260874507,0.624
NGC3021,14.3,28357,NGC3021,0.0113192787393927,9.878692,20.6,LT,NGC3021,,11.57,0.509,102.69,1.061,16.88,0.2701658727585013,55.70000076293945,b'Sbc ',4.0,28.8063,2.4874811102467387,0.5859829273457542,0.49641918608082264,16.945,2.4874811102467382,0.9961640601947477,0.8439067571555031,1.036,2.2669584245076586,0.006138121577278837,0.406,21.265,0.9865510013972987,16.988,1.2638090578830101,0.584,18.093,8.60596917667748,0.472,17.176,19.09413118952523,0.457
NGC3023,25.1,28272,NGC3023,0.015164173208177,9.646374,36.5,LT,NGC3023,,12.6,0.708,117.55,2.198,31.93,1.2959798512671117,60.650001525878906,b'SABc',5.599999904632568,26.5635,0.09182896004247582,1.2020253355167805,0.9449056035537485,26.564,0.09182896004247582,1.2020027104351754,0.9448878180996838,0.691,1.566893424036281,0.00987094999736235,0.611,31.606,1.00938556826386,30.0,0.047687039617492794,1.074,27.032,0.39715546815816355,0.789,26.317,1.947569487467556,0.441
NGC3024,15.9,28324,NGC3024,0.0142501294612884,8.961243,18.3,LT,NGC3024,,13.36,0.192,123.75,1.357,22.19,0.8585962992464409,77.12000274658203,b'Sc  ',5.199999809265137,25.1352,0.11223253178955286,0.8828256787294313,0.632579012699322,25.135,0.11223253178955289,0.8828327034016312,0.6325840461507858,,,0.005871860936358445,0.555,32.546,0.8990271120967166,28.303,0.02951096647105524,0.793,28.724,0.28408631504053294,0.618,27.958,1.2839286347366843,0.546
NGC3026,34.2,28351,NGC3026,0.0185275841504335,9.3443575,21.0,LT,NGC3026,,12.93,0.253,82.41,1.366,41.2,,90.0,b'SBm ',9.5,,,,,,,,,1.16,,,,,,,,,,,,,,
NGC3027,58.9,28636,NGC3027,0.02791378647089,9.429973,16.6,LT,NGC3027,,12.14,0.361,126.54,2.055,88.4,0.4930020750255171,69.91000366210938,b'Sc  ',6.400000095367432,60.169500000000006,0.04966263952853861,1.4691828916643814,0.9789012705772857,60.17,0.04966263952853856,1.4691706830646503,0.9788931361143427,1.73,1.8287526427061311,,,,1.1104754170972981,61.061,0.026764956919102873,1.182,50.017,0.04294327860298659,0.856,54.184,0.057640396931829894,0.946
NGC3031,164.0,28630,NGC3031,0.1802265495061874,10.681278,3.65,LT,NGC3031,,6.12,0.594,151.03,3.421,198.42,0.5265352634339692,59.0,b'Sab ',2.4000000953674316,4343.6115,2.2999306609342,0.04568088099039244,0.03775659954855539,75.767,1460.7895113495165,2.6188182190135545,2.1645307323768925,,,0.00016146096186648996,0.123,398.055,4.638038687561215,74.86,605.7636171396656,1.751,147.482,39.64771930413396,2.416,16.336,40.4661763822829,0.986
