col1,col2,PGC,OBJNAME,R25_DEG,LOGMASS,DIST_MPC,GALTYPE_COURSE,IDE,Com,Tmag,q,PosAng,n,Re,ratio_Salo,INCL_DEG,MORPH,T,Re_mine,mse,saloratio,mm15ratio,Re_mine2,mse2,saloratio2,mm15ratio2,n_mine2,nsratio,mse_fuv,n_mine_fuv,Re_mine_fuv,bandratio,Re_mine_w2,mse_w2,n_mine_w2,Re_mine_w3,mse_w3,n_mine_w3,Re_mine_w4,mse_w4,n_mine_w4
ESO404-012,17.3,67701,ESO404-012,0.0186560116708278,10.27788,38.0,LT,ESO404-012,,11.83,0.687,129.28,2.271,25.34,1.606987049465097,38.84000015258789,b'Sc  ',5.099999904632568,23.536800000000003,1.1951152862846701,1.076611943849631,0.7350192039699533,23.537,1.1951152862846708,1.0766027955984196,0.7350129583209416,1.176,0.6124999999999999,0.011183849669268935,0.824,22.873,0.9603410991880533,618.793,2.216112595129515,6.232,197.556,2.913974584338606,4.571,24.509,6.534668628979368,1.92
ESO404-017,20.9,67835,ESO404-017,0.0169363059103488,8.938191999999999,31.9,LT,ESO404-017,,14.76,0.352,125.34,1.675,30.78,,90.0,b'SBd ',7.599999904632568,,,,,,,,,,,,,,,,,,,,,,,
ESO404-018,37.8,67842,ESO404-018,0.0214693434536457,8.994859,27.0,LT,ESO404-018,,14.86,0.101,34.21,1.089,42.7,,90.0,b'SBcd',6.900000095367432,,,,,,,,,,,,,,,,,,,,,,,
ESO404-027,25.0,67954,ESO404-027,0.0197159964591264,9.859891,31.9,LT,ESO404-027,,12.63,0.465,130.04,2.451,34.59,0.6969012879329539,73.2300033569336,b'Sc  ',5.0,34.777800000000006,0.10206724491166858,0.9946000034504769,0.718849380926913,34.778,0.10206724491166853,0.9945942837425961,0.7188452469952269,0.922,0.9829424307036249,0.00019690174035171554,0.405,48.149,1.3616538115187344,32.721,0.07544720142245874,0.905,28.176,0.2897991721467406,0.806,25.541,0.3461424855654014,0.938
ESO406-042,26.8,70306,ESO406-042,0.0127884745597839,8.677831,25.4,,ESO406-042,,14.12,0.584,64.76,1.549,43.23,0.9265117458809684,80.05000305175781,b'SABm',8.699999809265137,57.2805,0.0036820095394741043,0.7547070992746222,0.4678730108850307,57.28,0.0036820095394741034,0.7547136871508379,0.46787709497206703,0.858,5.5,0.00033552578237601427,0.544,43.94,1.5189202089575986,67.384,0.001276170290934057,0.905,57.856,0.002066754269348285,0.746,37.711,0.029015800058178474,0.156
ESO407-007,12.0,70582,ESO407-007,0.0164747480303049,9.907098,25.4,LT,ESO407-007,,12.37,0.193,168.12,0.908,15.45,1.5557363143086074,78.06999969482422,b'Sb  ',3.0999999046325684,39.541500000000006,2.307090755713663,0.39072872804521824,0.30347862372444134,25.116,2.3070907557136633,0.615145723841376,0.4777830864787387,0.649,1.2063197026022305,4.0869240644154897e-05,0.627,41.878,1.1851642129105322,24.149,1.0178438408581065,0.611,25.041,8.390599426069498,0.606,21.192,9.610825728698854,0.538
ESO407-009,33.2,70697,ESO407-009,0.0168584939092397,9.469536,26.67,LT,ESO407-009,,13.55,0.366,31.84,0.683,35.63,1.393872928196724,69.7300033569336,b'SBcd',6.699999809265137,35.8164,0.029682846164694535,0.9947956801911974,0.9269496655163557,35.816,0.029682846164694528,0.9948067902613357,0.9269600178691088,0.602,50.166666666666664,0.0001106656317500964,0.285,38.452,1.083691376701967,36.293,0.009992652455384183,0.594,41.601,0.00966905845861657,0.537,33.05,0.023179824956729253,0.012
ESO407-014,12.4,70966,ESO407-014,0.0135774668306112,9.609849,31.9,LT,ESO407-014,,13.17,0.545,41.88,0.851,12.82,0.1980733541435347,53.83000183105469,b'SBc ',5.099999904632568,21.5298,0.6030588272272196,0.595453743183866,0.575945898243365,21.53,0.6030588272272196,0.5954482117974919,0.575940548072457,1.233,0.6378685980341439,0.010608684697183316,0.603,18.236,0.21567311448806437,650.246,1.8056125931613602,7.612,22.333,1.1867968866627165,1.208,99.827,1.426201856204285,1.933
ESO407-018,34.5,71431,ESO407-018,0.0112932445481419,7.477503,2.21,LT,ESO407-018,,13.96,0.891,64.35,0.786,41.1,,37.380001068115234,b'IB  ',9.800000190734863,,,,,,,,,,,,,,,,,,,,,,,
ESO408-012,17.3,71934,ESO408-012,0.0106369880959391,9.423442,52.0,LT,ESO408-012,,14.71,0.595,84.95,1.407,22.83,0.8681647903302436,60.720001220703125,b'SABc',6.599999904632568,17.9496,0.0108144583236572,1.271894638320631,0.9638097784908857,17.95,0.010814458323657204,1.2718662952646238,0.9637883008356547,0.557,0.15752262443438916,,,,0.1830213303968351,17.584,0.003816426941212488,0.519,19.055,0.003277486080055069,0.58,98.076,0.031160424410810246,3.536
ESO409-015,17.3,388,ESO409-015,0.0088068135082721,7.322774000000001,8.71,LT,ESO409-015,,15.77,0.367,144.03,0.534,18.85,0.8065144479892687,66.37999725341797,b'Sc  ',5.400000095367432,20.2941,0.004847649117443578,0.9288413873983079,0.8524645093894285,20.294,0.004847649117443579,0.9288459643244309,0.8524687099635361,0.711,1.7050359712230216,0.019271964329004805,0.475,13.194,1.7685403050108934,15.852,0.0029645076077457126,0.644,22.447,0.034387864982790055,1.455,11.475,1.6281068138855603,0.417
ESO410-012,26.7,1740,ESO410-012,0.0117982821539044,7.9064875,20.118696,LT,ESO410-012,,15.66,0.273,118.23,2.055,51.64,0.4453416171037975,82.80000305175781,b'Sc  ',4.699999809265137,47.7072,0.0005601607989293887,1.0824361941174498,0.559663950095583,47.707,0.0005601607989293886,1.082440731968055,0.5596662963506404,0.352,0.1035598705501618,0.00012002462904258126,0.69,42.98,10.346345695076991,47.775,0.00019797387948321664,0.534,95.668,0.0005829896095767618,0.433,4.611,0.018302494475422447,3.399
