PGC,re,amp,n
PGC10595,,,
PGC1059517,,,
PGC10597,,,
PGC10601,,,
PGC10604,11.264,0.06453721463482645,0.104
PGC10606,23.214,0.01221367003039416,0.647
PGC10607,13.42,0.05459631821907206,1.291
PGC10608,,,
PGC1061333,,,
PGC1061666,11.964,0.00554369954227787,0.792
PGC10617,,,
PGC1062175,,,
PGC10622,17.483,0.008134809765056285,1.711
PGC10624,,,
PGC10627,164.314,0.000295280375173968,0.906
PGC1063049,7.353,0.07629629750877512,0.486
PGC1063216,,,
PGC1063314,8.878,0.0008233876177621705,0.989
PGC10637,,,
PGC10645,,,
PGC1064545,9.36,0.01703306498103028,0.623
PGC1064643,12.556,0.0005341522653440492,1.162
PGC1065122,,,
PGC10652,16.756,0.005802843646383807,1.342
PGC1065295,,,
PGC1065381,,,
PGC1065416,,,
PGC1065831,,,
PGC10659,20.388,0.017343693748828132,0.174
PGC1066179,,,
PGC1066198,,,
PGC10669,34.532,0.0282461469582644,0.124
PGC10670,,,
PGC10673,,,
PGC10683,,fit fail,fit fail
PGC1068443,14.438,0.012237850549789117,0.422
PGC1068535,,,
PGC10697,18.818,0.012220920133459042,1.276
PGC1069848,6.298,0.012107081193507466,0.707
PGC10705,26.313,0.010774299000759874,0.31
PGC10709,,,
PGC1072285,6.264,0.039593595866824344,1.453
PGC10723,17.536,0.008720558696432571,1.427
PGC10747,26.181,0.007113767764325892,0.392
PGC10748,,,
PGC1075005,19.101,0.006497535142184931,1.282
PGC1076468,15.451,0.0016974314618983907,0.811
PGC1077281,16.822,0.011737862659549844,0.901
PGC1077876,,,
PGC1078188,,,
PGC10789,,,
PGC10792,,,
PGC1079495,31.493,0.004015539530003438,2.019
PGC1079648,9.615,0.00034642853805686076,0.849
PGC10810,,,
PGC10813,,,
PGC10815,23.613,0.026784714404015454,0.275
PGC10824,19.58,0.03577960177099905,0.684
PGC10830,,,
PGC10851,16.765,0.017814376408718614,0.833
PGC10854,,,
PGC10873,,,
PGC1087486,24.912,0.008763252498670581,0.703
PGC10875,,,
PGC1087632,12.036,0.00046494970136064576,0.398
PGC10879,15.938,0.017421111685330816,0.832
PGC10882,,,
PGC10884,,,
PGC1089,26.494,0.012776810923898933,0.541
PGC10890,17.09,0.01939538987179987,0.335
PGC10891,,,
PGC10892,12.994,0.010014302120172907,0.471
PGC10893,7.544,0.07592666815993525,0.555
PGC109,12.086,0.0022443299878416047,0.959
PGC1090402,24.552,0.018367301925070998,0.871
PGC10907,,,
PGC10925,,,
PGC10927,,,
PGC10928,41.585,0.021520688238707397,0.53
PGC10931,,fit fail,fit fail
PGC10932,36.598,0.013182145444967753,0.45
PGC10940,24.454,0.009427545539002874,0.412
PGC10942,25.792,0.023694120097065407,1.292
PGC1094786,17.78,0.0076539741421664375,0.444
PGC10956,,,
PGC10965,64.445,0.005323118800486347,0.369
PGC10966,10.595,0.8873719411542587,0.778
PGC10980,53.995,8.712224391354459e-05,3.444
PGC10981,16.786,0.05882505202538059,1.823
PGC1099,,,
PGC10994,,,
PGC11011,22.965,0.025584383948792984,0.299
PGC11012,18.186,0.019434609557639874,0.73
PGC11014,,,
PGC11016,17.009,0.06169432247933826,0.222
PGC1103391,,,
PGC11036,15.833,0.018918174997830568,0.31
PGC11042,12.881,0.012417877320067557,0.906
PGC1105183,10.04,0.02552628763329072,0.266
PGC11056,,fit fail,fit fail
PGC1106,,,
PGC11065,28.973,0.013981870022705865,0.507
PGC11067,,,
PGC1107,33.668,0.00845082413893187,0.679
PGC11073,,fit fail,fit fail
PGC11074,,,
PGC11075,21.907,0.009124426241664247,0.175
PGC11078,,,
PGC1108920,18.718,0.005464747988169377,1.408
PGC1109,14.86,0.10461566709792756,0.091
PGC11092,,,
PGC11098,,fit fail,fit fail
PGC11103,,,
PGC11104,,fit fail,fit fail
PGC11116,,,
