PGC,re,amp,n
PGC100031,,,
PGC100035,10.707,4.123885253462779,0.575
PGC100042,9.03,0.2141956847488822,1.032
PGC100050,,,
PGC100060,9.28,4.348044508661813,0.544
PGC100070,8.326,0.7909441847865837,0.542
PGC100071,8.815,1.8109219871467694,0.409
PGC10008,16.364,0.6340249002137798,1.258
PGC100080,14.235,1.641539942188938,1.348
PGC1000913,13.593,0.3453202153867402,1.341
PGC100096,18.351,1.830637108294616,1.324
PGC100097,20.141,0.018824134004488628,2.065
PGC1001,7.955,0.262737511457819,0.588
PGC10010,31.088,6.4566038429329025,2.094
PGC100101,17.422,0.7992176933770997,0.504
PGC100102,16.763,0.04389936087667139,2.272
PGC1001046,39.323,0.03284671274521307,2.452
PGC100123,17.031,0.07400174190449542,1.227
PGC100133,7.851,2.1326175851236804,0.561
PGC100135,8.421,1.0703277837352012,0.462
PGC100137,,,
PGC10015,7.248,0.433603037609679,0.907
PGC100158,8.02,2.0340190049600873,0.463
PGC10017,21.286,0.03666565267639095,1.493
PGC100174,,,
PGC1001786,12.03,0.0216645485533836,1.631
PGC1002028,33.76,0.013071036184411354,2.157
PGC10026,17.798,0.13808311961031455,1.419
PGC10028,,,
PGC10029,21.249,1.6470412111284474,0.912
PGC1003139,11.363,0.6275217632624192,0.53
PGC10032,12.829,6.073869558824494,0.529
PGC10034,9.173,5.11286143818181,0.78
PGC10038,,,
PGC10041,18.747,0.9303321594804694,1.483
PGC10042,,,
PGC10043,,,
PGC10044,29.194,0.13919433050907834,0.829
PGC10045,14.349,0.5306408230521646,0.595
PGC10047,12.226,0.7343972784598461,0.585
PGC1004715,56.628,0.011096596518468506,1.657
PGC10048,42.934,0.45319173798224077,1.565
PGC10050,9.326,0.465558998930045,0.842
PGC10051,14.984,4.655362918048496,0.893
PGC10052,51.742,0.7118476873757422,0.582
PGC10055,,,
PGC1005530,8.746,0.20965910274586974,0.639
PGC10060,,,
PGC10062,,,
PGC1006370,35.729,0.016445684214959844,2.476
PGC10065,25.301,5.438434888735351,0.844
PGC10066,,,
PGC1006861,43.758,0.02225336124390308,2.709
PGC1007,200.266,0.027378897637144857,1.63
PGC10072,13.551,0.4540529389678204,0.566
PGC1007266,18.379,0.12987226049208028,1.383
PGC100738,10.608,2.8553673531618453,1.279
PGC1007529,22.712,0.07658617410814664,0.982
PGC1007559,18.285,0.019212633011398923,1.888
PGC1007660,11.273,0.21093042990049682,0.206
PGC100768,8.767,9.845883733147442,0.587
PGC10078,,,
PGC10079,10.041,1.050906820910944,0.514
PGC1007925,19.164,0.038136040850388395,1.838
PGC10080,,,
PGC1008446,8.783,0.854197847703054,0.507
PGC10085,12.127,0.5067783800890977,0.55
PGC1009220,,fit fail,fit fail
PGC1010080,18.483,0.04891284290812854,1.523
PGC1010767,24.723,0.02615294831960343,0.894
PGC10112,15.248,1.0176671461541054,0.89
PGC1011381,10.313,0.3943454217430869,1.052
PGC10122,199.491,0.030007072669118888,2.965
PGC10123,,,
PGC10124,,,
PGC101241,14.649,0.19352378899274716,1.582
PGC10125,14.281,0.09813028978520275,1.52
PGC10127,,fit fail,fit fail
PGC10129,10.222,0.6024947504297409,1.032
PGC10132,16.357,0.06331507534436412,0.654
PGC101330,7.569,9.504412875371521,0.587
PGC101367,14.88,0.14693282253065756,1.619
PGC10139,129.128,0.007947068897254167,1.912
PGC1014,,,
PGC10142,7.646,2.2456599245900275,0.427
PGC101427,,,
PGC101469,11.977,0.7009952711006501,0.752
PGC101536,,fit fail,fit fail
PGC1016275,,,
PGC1016288,,,
PGC10170,,,
PGC1017163,11.911,0.11362884354577465,1.291
PGC10172,20.118,0.3261929638648924,0.457
PGC1017237,16.077,0.40592575557186156,0.821
PGC10175,,fit fail,fit fail
PGC10182,54.928,0.002516953935409855,3.044
PGC1019240,,,
PGC1019297,13.588,0.05242219743213507,0.699
PGC1019436,,,
PGC1019975,8.022,0.5880160384439271,1.269
PGC102,,,
PGC10203,25.081,0.30080635800382605,1.807
PGC10205,12.851,0.5032215878582452,0.997
PGC10207,16.172,0.05378416893864451,0.522
PGC10208,28.089,11.632317056048397,1.022
PGC10209,35.428,0.005336711049706628,1.621
PGC1021186,,,
PGC1021782,9.938,0.5826325078030583,0.491
PGC10218,29.539,0.07153099059477971,1.824
PGC10222,15.735,0.060825158942515695,1.075
PGC10229,21.232,1.116626463217962,0.654
PGC10235,14.985,0.2827760565758594,0.742
PGC10243,11.97,0.7715073950039166,0.677
PGC10245,,,
PGC1024783,13.384,0.6628044883217421,0.572
PGC10256,25.321,0.11352678287835431,1.402
PGC10257,10.23,11.791062906825964,1.244
PGC10262,,fit fail,fit fail
PGC10266,,,
PGC10268,,,
PGC10270,32.479,0.049380988305135064,1.48
PGC10271,,,
PGC10272,25.885,1.8627781554896523,2.208
