PGC,re,amp,n
PGC100031,,,
PGC100035,29.416,0.13171295077743927,1.471
PGC100042,16.768,0.7531307973317227,0.783
PGC100050,,,
PGC100060,16.374,0.4646861221381624,0.866
PGC100070,31.225,0.0669781170879468,1.022
PGC100071,17.168,0.27935575936996354,0.687
PGC10008,18.04,0.8368821060039626,0.922
PGC100080,35.273,0.19529861219985226,2.67
PGC1000913,13.467,0.20599779185037975,1.302
PGC100096,176.392,0.02758792899385746,3.326
PGC100097,12.404,0.43916030323001887,0.639
PGC1001,21.449,0.02911406778021801,1.802
PGC10010,91.775,0.12639298133677648,3.958
PGC100101,27.417,0.6726086571679961,1.11
PGC100102,45.122,0.07844511615404702,2.809
PGC1001046,18.847,0.05258149208036397,1.168
PGC100123,29.876,0.2180854505851591,1.014
PGC100133,96.556,0.011040635560390474,3.647
PGC100135,19.741,0.12483770185416752,0.815
PGC100137,,,
PGC10015,18.226,0.5746609478243426,1.397
PGC100158,26.22,0.09174283563051919,1.715
PGC10017,36.481,0.0379411576987514,1.018
PGC100174,,,
PGC1001786,18.986,0.04680030550875246,0.9
PGC1002028,28.851,0.014520165499536717,1.884
PGC10026,35.416,0.07879628687927456,2.758
PGC10028,,,
PGC10029,25.194,0.6086510888596048,0.773
PGC1003139,45.362,0.027804691925073538,2.278
PGC10032,194.66,0.012111286203544324,3.822
PGC10034,15.058,1.0674290693100748,0.697
PGC10038,,,
PGC10041,68.358,0.04032140819673118,3.126
PGC10042,,,
PGC10043,,,
PGC10044,42.356,0.04728218905229163,0.814
PGC10045,31.16,0.07033945520860832,1.425
PGC10047,14.798,0.2265598922851512,0.67
PGC1004715,21.592,0.03534859671149201,0.772
PGC10048,31.45,1.25660382061935,1.119
PGC10050,15.433,0.7586612302616332,0.819
PGC10051,29.291,0.7346404402083656,0.883
PGC10052,59.703,0.3311139849003628,0.86
PGC10055,,,
PGC1005530,39.729,0.010003318461638603,3.082
PGC10060,,,
PGC10062,,,
PGC1006370,14.793,0.09132793983567963,0.596
PGC10065,31.262,1.2323971237702145,0.628
PGC10066,,,
PGC1006861,49.123,0.0070879512981772,4.344
PGC1007,142.874,0.0486359054721693,2.983
PGC10072,,fit fail,fit fail
PGC1007266,16.408,0.10063417989654024,0.629
PGC100738,10.214,0.759630610577723,0.513
PGC1007529,41.409,0.00873042901520512,4.305
PGC1007559,22.488,0.012539733901192025,1.823
PGC1007660,21.21,0.037761961163486776,1.451
PGC100768,19.823,0.5353258166420052,0.877
PGC10078,,,
PGC10079,25.469,0.07801009778526478,1.835
PGC1007925,13.223,0.7276795431536743,0.572
PGC10080,,,
