PGC,re,amp,n
PGC100031,,,
PGC100035,11.982,0.7675250110645039,0.695
PGC100042,11.683,0.9591969311492625,1.267
PGC100050,,,
PGC100060,10.815,0.9487950726023945,0.848
PGC100070,13.331,0.2061209259014692,0.856
PGC100071,10.99,0.6930024431255066,0.614
PGC10008,14.442,1.2010633684033318,1.138
PGC100080,9.399,2.5763757149002515,0.739
PGC1000913,9.494,0.8525623366643861,0.598
PGC100096,35.208,0.33126609290692355,1.511
PGC100097,6.886,1.1177211453554823,0.71
PGC1001,7.206,0.2843105581766007,0.517
PGC10010,12.992,3.2146450144252126,1.198
PGC100101,15.285,1.5633054259449197,1.036
PGC100102,13.726,0.5119172095102097,1.555
PGC1001046,75.48,0.00764708690320965,3.35
PGC100123,11.497,0.5939339863068779,0.95
PGC100133,9.985,0.6621390898935094,0.711
PGC100135,9.477,0.43619713441112673,0.635
PGC100137,,,
PGC10015,11.343,1.353878088867133,1.252
PGC100158,9.832,1.2292498441891593,0.521
PGC10017,30.993,0.043617240159053716,1.248
PGC100174,,,
PGC1001786,13.436,0.09096912838744561,0.885
PGC1002028,10.975,0.08790278714358357,0.769
PGC10026,11.709,0.5827155451599295,1.357
PGC10028,,,
PGC10029,22.775,0.7224154410364872,1.027
PGC1003139,14.063,0.23178455029364006,0.716
PGC10032,12.929,1.2587432230019329,0.536
PGC10034,9.018,2.2269340316378177,0.764
PGC10038,,,
PGC10041,12.394,0.7369191947095668,0.861
PGC10042,,,
PGC10043,,,
PGC10044,36.755,0.05378223162758561,0.942
PGC10045,20.007,0.24827980636107413,0.773
PGC10047,11.665,0.386183416732685,0.784
PGC1004715,19.509,0.03760075819279464,1.077
PGC10048,18.536,2.8529478587747588,1.067
PGC10050,11.403,1.8876845773635544,0.781
PGC10051,23.827,0.9448294525905172,1.076
PGC10052,60.326,0.3498576881937207,0.996
PGC10055,,,
PGC1005530,9.172,0.16125077223075668,0.655
PGC10060,,,
PGC10062,,,
PGC1006370,11.914,0.1254460375620807,0.713
PGC10065,28.543,1.4126032102360484,0.837
PGC10066,,,
PGC1006861,23.543,0.038501430770402675,1.818
PGC1007,15.047,0.963116949092913,0.966
PGC10072,14.316,0.2893238811049538,0.433
PGC1007266,16.497,0.08495096856117382,1.212
PGC100738,17.599,0.34704782514224747,1.714
PGC1007529,13.228,0.1617612808635014,0.556
PGC1007559,7.073,0.09924282397769425,0.702
PGC1007660,16.023,0.06400073248592239,1.373
PGC100768,9.518,1.6583909062338704,0.74
PGC10078,,,
PGC10079,15.4,0.20554316334395017,1.229
PGC1007925,10.019,1.0613786380034094,0.85
PGC10080,,,
PGC1008446,10.544,0.33093005404276615,0.539
PGC10085,18.529,0.09867417823917235,1.334
PGC1009220,,fit fail,fit fail
PGC1010080,13.485,0.06195766075042959,1.204
PGC1010767,16.719,0.07642620489380526,0.72
PGC10112,15.84,0.34136322278370484,1.06
PGC1011381,7.424,0.5664293552064841,0.604
PGC10122,91.197,0.06184267266856627,2.214
PGC10123,,,
PGC10124,,,
PGC101241,7.194,0.5150629735095343,0.633
PGC10125,13.033,0.761913176079668,1.283
PGC10127,18.248,0.2551499535634452,1.535
PGC10129,8.864,4.09412972487827,0.88
PGC10132,20.941,0.24888269776550978,0.942
PGC101330,11.087,1.24764087320331,0.85
PGC101367,13.885,0.21792071874778035,0.95
PGC10139,76.46,0.07839555987275273,0.86
PGC1014,,,
PGC10142,11.609,0.34196506136078486,1.247
PGC101427,,,
PGC101469,14.065,0.37514570717652584,0.699
PGC101536,5.553,0.32714067475877073,0.582
PGC1016275,,,
PGC1016288,,,
PGC10170,,,
PGC1017163,8.847,0.5768565456019874,0.692
PGC10172,22.078,0.24365479309874888,0.803
PGC1017237,9.038,0.3746319462933751,0.527
PGC10175,17.412,6.538779690448086,1.216
PGC10182,12.815,0.09147219911241425,0.679
PGC1019240,,,
PGC1019297,13.014,0.08513147596645493,0.649
PGC1019436,,,
