PGC,re,amp,n
PGC100031,,,
PGC100035,16.566,0.23756418178568994,0.705
PGC100042,19.06,0.28889153811144513,1.001
PGC100050,,,
PGC100060,15.119,0.3448013052466966,0.75
PGC100070,82.56,0.01329179688976284,1.773
PGC100071,50.146,0.024199561616348217,2.407
PGC10008,17.774,0.4827254850924981,0.902
PGC100080,39.758,0.09571873874093138,3.282
PGC1000913,,fit fail,fit fail
PGC100096,120.196,0.027158963052620076,3.059
PGC100097,11.961,0.2450477442183067,0.623
PGC1001,21.999,0.015356024494969605,1.916
PGC10010,15.824,1.7291982695324708,0.952
PGC100101,39.932,0.20201626293846445,1.65
PGC100102,16.423,0.25798511355099224,1.16
PGC1001046,27.343,0.012692322235123621,2.467
PGC100123,29.394,0.12440472384589304,1.024
PGC100133,40.105,0.023580742417527965,2.456
PGC100135,19.515,0.07522569023745154,0.817
PGC100137,,,
PGC10015,,fit fail,fit fail
PGC100158,22.645,0.0563993878088365,1.761
PGC10017,30.209,0.025219329661233077,0.923
PGC100174,,,
PGC1001786,19.161,0.026184643895849936,0.923
PGC1002028,20.593,0.011896133532970738,1.567
PGC10026,50.479,0.02418185409698679,3.395
PGC10028,,,
PGC10029,25.282,0.3698821027464432,0.768
PGC1003139,39.17,0.019486155021779243,2.175
PGC10032,,fit fail,fit fail
PGC10034,13.608,0.7202144794832241,0.651
PGC10038,,,
PGC10041,13.962,0.390338777005558,0.701
PGC10042,,,
PGC10043,,,
PGC10044,43.843,0.026623297279584766,0.784
PGC10045,57.156,0.011542698703659711,2.98
PGC10047,25.399,0.0525713931685941,1.53
PGC1004715,20.476,0.020478596546096777,0.71
PGC10048,30.919,0.7224779683350486,1.099
PGC10050,25.936,0.13803440858182203,1.804
PGC10051,27.868,0.5013355652959681,0.891
PGC10052,58.789,0.20914641920472538,0.818
PGC10055,,,
PGC1005530,85.784,0.0023797290067648492,3.711
PGC10060,,,
PGC10062,,,
PGC1006370,14.687,0.05256063227989426,0.607
PGC10065,30.341,0.8201493071510259,0.613
PGC10066,,,
PGC1006861,76.701,0.0029870508162515266,3.972
PGC1007,103.4,0.040901870297467925,2.665
PGC10072,,fit fail,fit fail
PGC1007266,15.704,0.06268274587082989,0.602
PGC100738,41.165,0.03035325387852366,3.256
PGC1007529,88.856,0.002240586840023095,4.27
PGC1007559,16.169,0.010594446593844356,1.419
PGC1007660,23.012,0.01670485060917267,1.72
PGC100768,18.698,0.41009765208107557,0.835
PGC10078,,,
PGC10079,27.236,0.0398323512482584,2.01
PGC1007925,18.027,0.14746148391244598,1.399
PGC10080,,,
PGC1008446,31.977,0.013342083394309898,2.371
PGC10085,16.845,0.09213331523137193,0.55
PGC1009220,77.692,0.0032022681022216407,6.809
PGC1010080,36.505,0.006065442668819622,2.15
PGC1010767,23.125,0.024890438360402636,0.778
PGC10112,28.12,0.06995710983376953,1.674
PGC1011381,9.415,0.15536269053180837,0.528
PGC10122,72.336,0.06007578666791046,1.482
PGC10123,,,
PGC10124,,,
PGC101241,36.811,0.01658398701393205,2.805
PGC10125,74.342,0.02587270814861533,3.757
PGC10127,26.872,0.07004976361016985,1.982
PGC10129,17.03,0.7852649847839461,1.023
PGC10132,27.04,0.09750894116847345,0.85
PGC101330,91.767,0.0470151363586732,2.416
PGC101367,66.503,0.004524451535308524,3.558
PGC10139,68.584,0.044083217424150736,0.816
PGC1014,,,
PGC10142,23.793,0.04432825696304697,2.187
PGC101427,,,
PGC101469,12.772,0.16025801620436483,0.718
PGC101536,24.424,0.01002349410627502,2.487
PGC1016275,,,
PGC1016288,,,
PGC10170,,,
PGC1017163,25.507,0.057817000195417856,1.547
PGC10172,22.179,0.13539361613981352,0.655
PGC1017237,62.526,0.004862890542805996,3.688
PGC10175,38.532,0.8975758626161903,2.039
PGC10182,18.662,0.03619371067736186,0.73
PGC1019240,,,
PGC1019297,14.641,0.03413165391227904,0.484
PGC1019436,,,
PGC1019975,30.716,0.0172784836564256,2.296
PGC102,,,
PGC10203,68.714,0.037971002899859045,3.413
PGC10205,67.64,0.0303252757579425,3.661
PGC10207,24.479,0.019609269194116822,0.939
PGC10208,68.925,0.49705463597983846,2.006
PGC10209,22.883,0.011979625811759159,0.9
PGC1021186,,,
PGC1021782,68.273,0.007298786008616062,2.913
PGC10218,17.421,0.05399547050964459,0.704
PGC10222,31.922,0.013237768892256915,1.14
PGC10229,33.149,0.15450677248920164,0.705
PGC10235,24.006,0.48011237483250424,0.166
PGC10243,15.622,0.13559869030802837,0.639
PGC10245,,,
PGC1024783,37.467,0.02298126199216976,2.351
PGC10256,24.001,0.0456346862141042,0.956
PGC10257,20.99,0.3994253596686914,1.459
PGC10262,12.685,0.46627417975885477,0.766
PGC10266,,,
PGC10268,,,
PGC10270,25.237,0.030398702173890218,0.892
PGC10271,,,
PGC10272,15.834,1.0622751896544607,1.113
PGC1027901,38.962,0.014479548861583409,4.518
PGC1028168,24.372,0.026183985419688072,1.704
PGC1028639,79.604,0.003918573065515012,4.541
PGC1028862,26.443,0.024911509910846275,1.069
PGC1029331,156.638,0.006915997784668369,4.377
PGC10296,33.372,0.29421097917072936,0.685
PGC10297,12.041,0.05599732294748065,0.525
PGC10298,,,
PGC10302,21.853,1.0050905282672795,1.18
PGC10303,30.69,0.09477618587772126,3.078
PGC10305,57.125,0.02224997759387687,2.434
PGC10309,98.649,0.03672610462494371,4.106
PGC10313,20.853,0.279869249045156,1.284
PGC10314,37.793,0.24577295794517628,0.897
PGC1031827,28.607,0.009069993740801271,4.278
PGC10319,27.589,0.27386172446790774,0.686
PGC1032003,,,
PGC10321,9.064,0.8962110889408595,1.262
PGC1032257,36.249,0.026020147233321314,2.533
PGC10325,,,
PGC10326,65.939,0.01678370947820638,3.522
PGC10329,87.553,0.0357822114860666,1.896
PGC10330,,fit fail,fit fail
PGC10331,,fit fail,fit fail
PGC1033456,29.182,0.0077620888864766025,2.27
