col1,col2,PGC,OBJNAME,R25_DEG,LOGMASS,DIST_MPC,GALTYPE_COURSE,re_des,re,ratio,ratio2,nummasked,R25_arcsec,IDE,Com,Tmag,q,PosAng,n,Re,ratio_Salo
ESO504-028,21.9,37377,ESO504-028,0.0119074480608105,9.424845,28.23582,LT,29.731240148370574,29.731240148370574,0.7365989407340693,0.3667238655266578,626.0,42.8668130189178,ESO504-028,,13.42,0.954,47.56,0.89,23.85,0.28526954314451375
ESO505-002,22.7,37857,ESO505-002,0.0121567863970994,9.032582,23.583055,LT,All NaN,,,,,43.76443102955784,ESO505-002,,13.98,0.778,100.82,0.866,28.0,
ESO505-003,28.7,37906,ESO505-003,0.0167039353400468,9.269889,20.2,LT,Bad Decomp,,,,,60.13416722416848,ESO505-003,,13.19,0.133,130.84,1.291,39.09,
ESO505-008,15.2,38114,ESO505-008,0.0118800653144717,8.756689999999999,20.2,LT,18.67510477149593,18.67510477149593,0.8139177898053866,0.444312073455002,91.0,42.76823513209812,ESO505-008,,14.49,0.295,12.55,0.955,17.16,0.35828924720337574
ESO505-009,27.2,38126,ESO505-009,0.0124686295166611,9.327298,33.57,LT,34.30084355837142,34.30084355837142,0.792983413183773,0.6511678106732877,232.0,44.88706625997996,ESO505-009,,14.48,0.373,77.26,0.803,27.01,0.46187086571127894
ESO505-013,49.2,38367,ESO505-013,0.0143819833174347,9.101081,21.6,,57.3409719211864,57.3409719211864,0.8580252191683123,2.1645407409547612,893.0,51.775139942764916,ESO505-013,,12.48,0.742,2.09,2.162,83.97,2.638741086207481
ESO505-023,26.1,38652,ESO505-023,0.0114503502845764,8.695456,26.79,LT,Bad Decomp,,,,,41.22126102447504,ESO505-023,,15.28,0.291,41.86,1.276,27.92,
ESO506-018,11.8,41733,ESO506-018,0.0111897094175219,9.330273,67.92,LT,Bad Decomp,,,,,40.28295390307884,ESO506-018,,16.31,0.119,10.31,1.139,14.71,
ESO506-029,31.4,42334,ESO506-029,0.0094366697594523,9.084029,42.247417,LT,34.46155278644811,34.46155278644811,0.9111603355362426,0.7489571202720369,295.0,33.97201113402828,ESO506-029,,13.52,0.774,179.94,2.158,61.55,1.0486421918276587
ESO506-033,6.6,42431,ESO506-033,0.0173308029770851,9.830121,16.649464000000002,ET,Bad Decomp,,,,,62.39089071750636,ESO506-033,,11.84,0.259,177.94,3.05,7.75,
