PGC,re,amp,n
PGC1052160,,,
PGC1053462,,,
PGC10535,,,
PGC1053691,42.174,0.002371390246133661,1.427
PGC1054061,,,
PGC10542,,,
PGC10559,11.273,0.08049604618121593,0.42
PGC10571,,,
PGC1057446,11.137,0.034907442624937696,0.623
PGC10587,17.513,0.053997823025407676,0.704
PGC10588,,,
PGC1059326,17.17,0.03388109261011249,0.713
PGC10595,17.643,0.03995371109815122,0.616
PGC1059517,,,
PGC10597,46.967,0.022023356596150026,0.573
PGC10601,,,
PGC10604,43.152,0.007426687576334548,1.807
PGC10606,19.976,0.022005534961676156,0.661
PGC10607,5.915,0.23058794552655693,0.526
PGC10608,,,
PGC1061333,,,
PGC1061666,10.713,0.011091643739350168,0.721
PGC10617,,,
PGC1062175,,,
PGC10622,36.93,0.005336353036932796,2.236
PGC10624,,,
PGC10627,36.601,0.018689216894145193,0.127
PGC1063049,13.579,0.027589748704080885,1.314
PGC1063216,,,
PGC1063314,10.977,0.003409095829937536,0.933
PGC10637,,,
PGC10645,,,
PGC1064545,7.535,0.02683285964379745,0.565
PGC1064643,10.1,0.004543685203519299,0.717
PGC1065122,,,
PGC10652,22.452,0.005176188560838788,1.094
PGC1065295,,,
PGC1065381,,,
PGC1065416,,,
PGC1065831,,,
PGC10659,20.971,0.031078640338210173,0.311
PGC1066179,,,
PGC1066198,,,
PGC10669,32.924,0.04362370603825751,0.163
PGC10670,,,
PGC10673,,,
PGC10683,17.338,0.006468170794201472,1.057
PGC1068443,14.264,0.017861578114260878,0.502
PGC1068535,,,
PGC10697,15.577,0.021704276049035125,1.299
PGC1069848,7.021,0.019872624704765834,0.491
PGC10705,23.413,0.019807580349474718,0.344
PGC10709,,,
PGC1072285,6.2,0.05526002064982768,1.462
PGC10723,9.121,0.029954670232605146,0.755
PGC10747,23.294,0.01380414904274504,0.364
PGC10748,,,
PGC1075005,19.213,0.006865421205914773,1.507
PGC1076468,18.583,0.005900153206619286,1.066
PGC1077281,17.345,0.01554556037899162,0.987
PGC1077876,,,
PGC1078188,,,
PGC10789,,,
PGC10792,,,
PGC1079495,6.898,0.04765179323580562,0.318
PGC1079648,9.564,0.003954129376979581,0.74
PGC10810,9.533,0.006886417591625292,0.422
PGC10813,,,
PGC10815,23.906,0.034787882469987846,0.248
PGC10824,13.006,0.0655502410806881,0.581
PGC10830,,,
PGC10851,19.037,0.026881746944876318,0.956
PGC10854,,,
PGC10873,8.334,0.037203852455182256,0.763
PGC1087486,22.574,0.014319256188827949,0.614
PGC10875,,,
PGC1087632,11.898,0.0020557400316339987,0.813
PGC10879,15.339,0.020692104972709912,0.883
PGC10882,,,
PGC10884,,,
PGC1089,24.471,0.017289689689010918,0.538
PGC10890,17.969,0.04204392427315221,0.481
PGC10891,,,
PGC10892,12.846,0.015052942179897128,0.436
PGC10893,8.15,0.09038910228181467,0.65
PGC109,23.8,0.0021391153574439967,1.686
PGC1090402,23.251,0.025212505621243057,0.802
PGC10907,,,
PGC10925,,,
PGC10927,,,
PGC10928,39.36,0.0363467262602412,0.581
PGC10931,7.315,0.0027504210576833905,1.181
PGC10932,46.944,0.008755278224869337,1.585
PGC10940,24.319,0.011268813300984575,0.522
PGC10942,18.311,0.053100645818285976,1.145
PGC1094786,18.327,0.013202924958802584,0.698
PGC10956,,,
PGC10965,62.262,0.008924105862387439,0.481
PGC10966,11.335,0.8776312451779791,0.782
PGC10980,13.168,0.0031895107340087383,1.205
PGC10981,7.145,0.24865744377935206,0.896
PGC1099,,,
PGC10994,,,
PGC11011,27.621,0.03523357552359736,0.108
PGC11012,18.434,0.03376889720635122,0.749
PGC11014,,,
PGC11016,20.938,0.053376761681340985,0.359
PGC1103391,,,
PGC11036,16.396,0.010187957708181919,0.78
PGC11042,11.723,0.023177111768728446,0.784
PGC1105183,10.643,0.02999529681776952,0.302
PGC11056,137.799,0.00463801997580748,1.318
PGC1106,,,
PGC11065,29.83,0.0172386165668439,0.601
PGC11067,,,
PGC1107,32.789,0.015333425989477272,0.53
PGC11073,7.091,0.0059242753583078085,0.481
PGC11074,23.393,0.04018489141429992,0.371
PGC11075,22.135,0.015753330892039022,0.204
PGC11078,,,
PGC1108920,12.119,0.024869575450505204,0.426
PGC1109,16.403,0.15482380832282075,0.176
PGC11092,,,
PGC11098,17.168,0.017600970729095423,1.108
PGC11103,28.143,0.0021229460735769545,1.27
PGC11104,15.856,0.003993945237580983,1.632
PGC11116,,,
PGC11118,205.06,0.00010747382335077362,3.99
PGC11123,16.004,0.0012205324269890393,1.39
PGC11124,12.201,0.07368039653883371,1.094
PGC11134,23.449,0.021696828499452835,0.399
PGC11135,,,
PGC11139,,,
PGC1114,,,
PGC11153,,,
PGC11154,19.128,0.011912882812161959,0.497
PGC11156,,,
PGC11163,,,
PGC11179,19.448,0.0026303992870889657,2.43
PGC11181,,,
PGC11192,46.27,0.005245395127216785,2.173
PGC11198,,,
PGC112,14.757,0.017603810372674767,0.548
PGC11202,34.238,0.037460441587343775,1.827
PGC11204,18.16,0.03429831578053523,1.022
PGC11210,30.306,0.014222353143710516,0.317
PGC11214,16.756,0.0222725776109162,1.862
PGC11217,45.983,0.012227490317656482,0.79
PGC11221,,,
PGC11228,18.53,0.010436005535843115,1.126
PGC11230,10.617,0.014244915541575238,0.964
PGC1123197,23.8,0.0016661773634558353,1.658
PGC11233,,,
PGC11242,,,
PGC11245,18.384,0.05060395122863438,0.254
PGC11248,31.373,0.022598820228028452,0.54
PGC11252,47.964,0.013918331358928221,0.428
PGC1125459,,,
PGC11261,,,
PGC11263,12.23,0.012447093209363286,0.749
PGC11264,,,
PGC11265,,,
PGC11270,,,
PGC11274,,,
PGC1127439,6.116,0.03864917309404835,0.616
PGC11282,,,
PGC11287,,fit fail,fit fail
PGC11290,14.448,0.07476663055943708,0.702
PGC11292,18.656,0.04178077205592475,0.448
PGC11299,,,
PGC1130,20.143,0.06803437101014356,0.243
PGC11309,12.491,0.01585086191684132,1.005
PGC1131621,,,
PGC1131704,,,
PGC11329,28.629,0.19600667223033444,0.836
PGC11336,21.876,0.014046426649568894,2.041
PGC11341,,,
PGC11344,6.04,0.2637557813935782,0.629
PGC1134909,14.253,0.011142567312504192,0.704
PGC11352,19.254,0.010167921434078332,0.661
PGC11357,,,
PGC11359,,,
PGC11367,25.393,0.033706089668411064,0.127
PGC11368,,,
PGC11369,,,
PGC11370,,,
PGC11371,,,
PGC11375,,,
PGC1137500,11.15,0.0025101136178522945,0.864
PGC11376,,,
PGC11377,14.159,0.03903411252989311,0.525
PGC11383,6.915,0.335586808358494,0.408
PGC113900,11.661,0.0006188617709316403,1.434
PGC113918,6.094,0.0030580549178074144,0.674
PGC11392,13.3,0.009046437851428345,0.901
PGC11397,,,
PGC11399,,,
PGC11403,,,
PGC1140347,18.732,0.00485607717875896,0.542
PGC11404,,,
PGC11414,,,
PGC1141629,13.377,0.004330548029254582,0.636
PGC11420,34.179,0.0032939561261241005,1.689
PGC11425,31.49,0.0024233117139857638,1.766
PGC11432,,,
PGC11441,,,
PGC11453,,,
PGC11455,28.711,0.003914153169918694,1.098
PGC11462,14.268,0.015517259902286059,0.33
PGC11463,,fit fail,fit fail
PGC11469,27.955,0.003964435309737108,1.744
PGC1147270,,,
PGC11479,63.446,0.03190219419972156,0.394
PGC11480,,fit fail,fit fail
PGC11484,,,
PGC1148459,12.163,0.005477831837217365,0.68
PGC11488,24.293,0.012020106207621149,0.606
PGC11503,,,
PGC1150429,,,
PGC11506,,,
PGC11508,,,
PGC11511,14.071,0.04688895648910705,0.497
PGC11515,25.426,0.01376753474983254,0.651
PGC11517,6.776,0.005732094023153179,0.701
PGC1151916,20.77,0.0027662458129151346,0.967
PGC11520,19.928,0.018086680440926723,0.304
PGC11521,10.039,0.11741978318149916,0.163
PGC11522,,,
PGC11527,19.518,0.006149613109863414,1.261
PGC11529,6.938,0.24376067708502167,0.383
PGC11533,23.088,0.0030482484786305934,1.536
PGC11536,,,
PGC11537,40.096,0.0016075298983202326,1.522
PGC11538,37.684,0.003987212001529192,0.574
PGC1154,25.708,0.011335115427164907,0.647
PGC11543,,,
PGC11545,25.306,0.004080085131550987,1.523
PGC11552,29.424,0.05613924099172737,0.448
PGC11554,,,
PGC11557,21.344,0.0034525946261127895,1.06
PGC1156203,190.571,0.0003443360809734038,2.169
PGC11563,13.432,0.0437981101471805,0.451
PGC11573,,,
PGC11574,,,
PGC11583,,,
PGC11592,21.012,0.03292768340594518,0.268
PGC11594,,,
PGC11595,39.858,0.013915027811142296,0.421
PGC1160,12.857,0.12992796617368774,0.912
PGC11609,13.508,0.06771843380896628,0.454
PGC11617,,,
PGC11625,,,
PGC11628,18.328,0.008078768249832802,0.981
PGC11638,,,
PGC11640,,,
PGC11643,,,
PGC11647,24.848,0.008099423028798059,0.824
PGC11648,,,
PGC11652,7.802,0.036589429422342154,0.831
PGC11658,,,
PGC11665,22.646,0.022907379343737384,0.367
PGC1166532,,,
PGC11666,28.728,0.002906090168142836,1.252
PGC11670,17.754,0.006219931306079057,1.347
PGC11671,16.577,0.02825021287676221,0.443
PGC11673,7.719,0.09344816577896509,0.603
PGC11675,,,
PGC11676,,,
PGC11677,40.433,0.006448190288427167,0.796
PGC11679,58.54,0.002279787781743948,1.793
PGC11682,19.82,0.02399002344405652,0.383
PGC11687,27.503,0.008725337467675036,1.819
PGC11691,34.815,0.01354390772334503,0.455
PGC11699,16.076,0.006235031005246119,0.741
PGC11713,20.679,0.04743899285724405,0.387
PGC11715,9.251,0.057001276446315384,0.654
PGC11740,,fit fail,fit fail
PGC11744,24.068,0.13437244045768357,1.657
PGC11767,,,
PGC11768,,,
PGC11770,,,
PGC11771,,,
PGC11774,,fit fail,fit fail
PGC1177602,,,
PGC11781,32.42,0.013147974112500075,0.54
PGC11782,27.507,0.03586993852239158,0.287
PGC11789,31.426,0.012546695825818856,0.478
PGC117913,15.368,0.03266973001313981,0.451
PGC11793,17.162,0.0749353024256135,0.466
PGC11798,,,
PGC1180,,,
PGC11800,26.016,0.02255875278262088,0.449
PGC11807,22.438,0.004472418754780265,1.487
PGC11809,,,
PGC11810,7.649,0.006133882065616258,0.767
PGC11812,,,
PGC11813,25.011,0.01876457496270479,0.608
PGC11819,99.805,0.023997388804339995,0.292
PGC11824,,,
PGC11830,16.41,0.01591605400828688,1.277
PGC11836,59.91,0.032141735740913634,0.825
PGC11846,,,
PGC11847,,,
PGC11851,,,
PGC11856,,,
PGC11866,10.766,0.0647985342704694,0.768
PGC11868,11.296,0.006592703453350417,1.027
PGC1187270,,,
PGC11873,,,
PGC11875,,,
PGC11887,37.731,0.040578933878781205,0.196
PGC11892,25.217,0.03051316660720882,1.368
PGC11902,,,
PGC11926,,,
PGC11931,,,
PGC11936,23.944,0.01741482026608964,0.626
PGC11937,,,
PGC11941,,,
PGC11942,,,
PGC1195996,6.133,0.0058642653228403304,0.694
PGC11969,,,
