PGC,re,amp,n
PGC100031,,,
PGC100035,12.622,3.595981166220075,0.499
PGC100042,64.643,0.005175813318738063,3.98
PGC100050,,,
PGC100060,11.455,3.2514267145441234,0.588
PGC100070,36.765,0.07817674394874391,3.15
PGC100071,12.996,0.9201895534310268,0.522
PGC10008,,fit fail,fit fail
PGC100080,60.117,0.24105545258167563,4.249
PGC1000913,8.886,0.5723144624051557,1.1
PGC100096,30.257,0.8605932559938737,2.795
PGC100097,,fit fail,fit fail
PGC1001,9.121,0.3650907509909786,0.404
PGC10010,35.758,16.46277669406659,3.324
PGC100101,20.841,0.6698689258354253,0.402
PGC100102,13.237,0.033482294611308805,4.006
PGC1001046,69.904,0.01805626894450919,2.818
PGC100123,16.165,0.04916367229501937,0.093
PGC100133,,fit fail,fit fail
PGC100135,46.823,0.048036686011178095,2.281
PGC100137,,,
PGC10015,,fit fail,fit fail
PGC100158,34.322,0.0670768865933069,2.827
PGC10017,25.795,0.1406645505964613,0.122
PGC100174,,,
PGC1001786,23.488,0.06468352026257501,1.41
PGC1002028,19.024,0.024332835660189088,4.27
PGC10026,42.95,0.02929318954304698,2.633
PGC10028,,,
PGC10029,25.475,1.521718972587865,0.793
PGC1003139,37.545,0.09200849736194405,2.101
PGC10032,30.113,0.8012863614938228,4.047
PGC10034,11.02,6.189219370549479,0.555
PGC10038,,,
PGC10041,19.771,2.009492968667771,1.674
PGC10042,,,
PGC10043,,,
PGC10044,26.767,0.4168374129754718,0.763
PGC10045,28.663,0.19865991222637966,0.891
PGC10047,48.899,0.05978315680783528,2.839
PGC1004715,27.535,0.017291313450045493,3.061
PGC10048,66.161,0.27894732841623654,1.547
PGC10050,94.958,0.011575658333413142,2.974
PGC10051,29.39,3.6529867524012536,1.61
PGC10052,59.855,1.5911002251211284,0.347
PGC10055,,,
PGC1005530,9.706,0.11367255231865114,3.934
PGC10060,,,
PGC10062,,,
PGC1006370,23.639,0.04845964026062116,2.379
PGC10065,30.171,5.9282961825514695,0.693
PGC10066,,,
PGC1006861,11.352,0.08457436640671864,4.075
PGC1007,,fit fail,fit fail
PGC10072,12.139,0.3755017927819077,1.115
PGC1007266,73.403,0.02154301543919565,2.85
PGC100738,22.679,1.0001331876131612,2.123
PGC1007529,17.934,0.20757989507841695,0.553
PGC1007559,20.921,0.0335619625585514,2.818
PGC1007660,12.978,0.21269770710145233,0.314
PGC100768,14.284,6.22330973504901,0.608
PGC10078,,,
PGC10079,27.507,0.15112043249143386,2.727
PGC1007925,35.472,0.013026547834375764,3.444
PGC10080,,,
PGC1008446,16.41,0.45577869874045196,0.634
PGC10085,14.458,0.6378798565929511,0.336
PGC1009220,,fit fail,fit fail
PGC1010080,30.45,0.035110959362650414,0.881
PGC1010767,11.371,0.14545909352498532,1.115
PGC10112,25.544,0.5082913022470762,1.756
PGC1011381,49.14,0.03670547853859648,2.835
PGC10122,109.022,0.10974280073837078,2.13
PGC10123,,,
PGC10124,,,
PGC101241,61.378,0.0181015747916188,4.275
PGC10125,,fit fail,fit fail
PGC10127,34.718,0.49684258606508785,2.949
PGC10129,17.479,0.1707676088586193,1.027
PGC10132,,fit fail,fit fail
PGC101330,39.589,0.8718454083843756,3.318
PGC101367,55.713,0.0235450980013975,2.692
PGC10139,35.385,0.09403587663646122,0.08
PGC1014,,,
PGC10142,9.956,2.1992414795331148,0.503
PGC101427,,,
PGC101469,18.506,0.4049263891497536,1.784
PGC101536,25.669,0.041629561029558386,3.77
PGC1016275,,,
PGC1016288,,,
PGC10170,,,
PGC1017163,10.029,0.07254034596033104,4.33
PGC10172,27.805,0.26804494814408897,0.479
PGC1017237,21.228,0.23329136195786832,0.653
PGC10175,13.404,24.483419087842538,0.777
PGC10182,12.498,0.11298302402322521,0.17
PGC1019240,,,
PGC1019297,26.108,0.004800613089340101,1.788
PGC1019436,,,
PGC1019975,13.641,1.0668440681061728,1.394
PGC102,,,
PGC10203,42.17,0.11586925137835205,2.408
PGC10205,12.006,0.2828312750933542,1.062
PGC10207,17.598,0.03977890883149898,1.121
PGC10208,46.055,6.219008234565674,1.557
PGC10209,41.406,0.008902540015096072,2.853
PGC1021186,,,
PGC1021782,13.561,0.4530554369581886,0.469
PGC10218,27.093,0.12298721917308317,0.825
PGC10222,17.42,0.1312239005510142,0.516
PGC10229,33.196,0.7976915072030493,0.755
PGC10235,13.47,1.4274161700466654,0.452
PGC10243,14.337,0.9351922988803456,0.74
PGC10245,,,
PGC1024783,18.221,0.585261352642519,0.604
PGC10256,64.158,0.018929285362054973,3.25
PGC10257,8.043,80.192644381257,0.493
PGC10262,,fit fail,fit fail
PGC10266,,,
PGC10268,,,
PGC10270,54.071,0.024700726613378084,2.991
PGC10271,,,
PGC10272,9.577,24.759772608003153,0.552
PGC1027901,50.641,0.004951288400599559,3.43
PGC1028168,22.233,0.004765176068048196,3.978
PGC1028639,49.274,0.05686940991021518,2.597
PGC1028862,,fit fail,fit fail
PGC1029331,31.411,0.25686747653677744,2.1
PGC10296,34.547,1.1489023098734887,0.582
PGC10297,11.849,1.1781554504008969,0.437
PGC10298,,,
PGC10302,,fit fail,fit fail
PGC10303,,fit fail,fit fail
PGC10305,,fit fail,fit fail
PGC10309,21.577,1.357000811047214,1.0
PGC10313,23.61,0.9651273305697033,1.675
PGC10314,36.117,1.0345761593882539,1.149
PGC1031827,26.832,0.1316231778765616,2.518
PGC10319,24.243,3.0855462213448708,0.53
PGC1032003,,,
PGC10321,12.237,5.648820722440874,8.015
PGC1032257,5.498,0.007168365283392171,2.047
PGC10325,,,
PGC10326,75.95,0.04895041521661769,3.355
PGC10329,,fit fail,fit fail
PGC10330,23.829,0.634785387372248,2.07
PGC10331,51.494,0.35747378619210474,4.536
PGC1033456,26.403,0.02546280515274023,2.396
PGC10337,13.081,1.2174593319135618,0.475
PGC10338,14.76,0.15876873845768744,0.832
PGC10339,,,
PGC1034,,,
PGC10340,,fit fail,fit fail
PGC1034103,13.311,0.7171468390440946,0.424
PGC10343,14.342,0.4646600260491807,0.307
PGC10350,,,
PGC10370,76.926,0.020230335326944987,4.108
PGC1037301,,fit fail,fit fail
PGC10381,,,
PGC1039411,,,
PGC10407,,,
PGC10411,17.126,4.63260851454251,0.619
PGC10413,17.079,3.360208643209407,0.496
PGC1041440,13.45,0.3256813391707834,0.075
PGC1041511,37.515,0.004861013551385771,3.97
PGC1041550,17.209,1.1042684451698845,0.761
PGC10417,,fit fail,fit fail
PGC10419,,fit fail,fit fail
PGC10421,22.889,0.693848747269221,0.616
PGC1042134,39.062,0.5704744098141725,4.795
PGC1042309,,fit fail,fit fail
PGC10431,35.335,0.12434902688484961,1.904
PGC104394,8.677,1.4269734787297514,0.336
PGC10445,,,
PGC1046094,92.213,0.024288864651609114,3.565
PGC1046170,20.827,0.03127462988654862,0.654
PGC104631,86.743,0.033822788662978304,4.015
PGC10464,,,
PGC1047309,,,
PGC10483,,,
PGC104868,16.225,0.3299951524368346,0.819
PGC10488,42.542,19.57060350055567,2.465
PGC104917,18.542,0.20974582877285705,0.74
PGC10496,111.698,0.6402732546925402,3.663
PGC10507,44.873,0.6527888990180138,0.926
PGC1051,19.764,6.409780542078303,0.492
PGC10512,29.937,0.46086648569804856,2.659
PGC1052018,,,
PGC1052121,8.019,0.7515864686193247,0.382
PGC1052160,21.204,0.09766470409716095,2.422
PGC1053462,16.78,0.8519551083012232,4.492
PGC10535,,,
PGC1053691,14.871,1.4244374919016602,4.256
PGC1054061,,fit fail,fit fail
PGC10542,,,
PGC10559,76.35,0.1555020311600475,4.079
PGC10571,,,
PGC1057446,14.966,0.1408953157433515,0.282
PGC10587,37.317,0.6978385235819695,2.409
PGC10588,,,
PGC1059326,199.412,0.0005330561465598814,3.001
PGC10595,10.125,2.0583132276298595,1.915
PGC1059517,,fit fail,fit fail
PGC10597,16.584,9.19192114365275,8.504
PGC10601,,,
PGC10604,22.692,0.27289835402927437,1.577
PGC10606,16.227,1.063005133623389,0.893
PGC10607,8.96,2.994593104126865,0.468
PGC10608,,,
PGC1061333,38.995,0.0024470681375650207,3.945
PGC1061666,43.206,0.02877055238892313,2.307
PGC10617,,,
PGC1062175,39.503,0.07192328308931938,1.22
