PGC,PA
PGC65098,0
PGC71548,8
PGC28766,81
PGC47278,124
PGC15943,142
PGC4485,114
PGC17427,70
PGC64455,92
PGC9949,1
PGC47635,96
PGC14225,158
PGC9123,133
PGC37969,55
PGC166290,17
PGC32916,50
PGC15403,164
PGC53945,145
PGC70948,15
PGC32463,155
PGC18315,40
PGC28956,113
PGC45142,70
PGC16234,104
PGC52108,54
PGC270299,25
PGC50732,32
PGC2710,30
PGC418456,41
PGC28428,32
PGC19648,51
PGC24612,0
PGC166300,120
PGC37417,2
PGC24069,64
PGC38511,84
PGC9747,150
PGC2793197,10
PGC38331,2
PGC600531,140
PGC43925,135
PGC37752,49
PGC23411,111
PGC15429,140
PGC23761,85
PGC68140,108
PGC89784,171
PGC70488,148
PGC71784,55
PGC3377,175
PGC54166,76
PGC43835,138
PGC11554,45
PGC9846,60
PGC50084,170
PGC31841,22
PGC78955,94
PGC20046,115
PGC598512,48
PGC647078,35
PGC26660,79
PGC28950,170
PGC54365,105
PGC3082066,75
PGC45165,15
PGC36117,20
PGC42868,40
PGC6679,76
PGC72009,35
PGC13344,108
PGC43757,8
PGC12754,144
PGC47879,105
PGC693747,30
PGC70130,155
PGC43341,40
PGC166048,105
PGC48786,115
PGC43800,120
PGC46108,93
